ARCH-CERT-001: GGUF Tensor/Operation Inventory
Model: F:\~dev\Qwen3.5-40B-Q4_K_M.gguf
GGUF version: 3
Tensor count: 1275
Tensor data offset: 11020224

=== Category Summary ===
Category,Count,ApproxSize
embedding,1,1271398400
attention,360,7801909248
ffn,288,25669140480
norm,96,491520
output,26,2026378240
ssm,432,2300329728
conv,72,2949120

=== Full Inventory ===
Name,Type,Shape,Offset,Size,Category
output.weight,Q6_K,5120x248320,11020224,1271398400,output
output_norm.weight,F32,5120,1053964224,5120,output
token_embd.weight,Q4_K,5120x248320,1053984704,1271398400,embedding
blk.0.attn_gate.weight,Q4_K,5120x6144,1769146304,31457280,attention
blk.0.attn_norm.weight,F32,5120,1786841024,5120,attention
blk.0.attn_qkv.weight,Q5_K,5120x10240,1786861504,52428800,attention
blk.0.ffn_down.weight,Q6_K,17408x5120,1822906304,89128960,ffn
blk.0.ffn_gate.weight,Q4_K,5120x17408,1896019904,89128960,ffn
blk.0.ffn_up.weight,Q4_K,5120x17408,1946154944,89128960,ffn
blk.0.post_attention_norm.weight,F32,5120,1996289984,5120,norm
blk.0.ssm_a,F32,48,1996310464,48,ssm
blk.0.ssm_alpha.weight,Q4_K,5120x48,1996310656,245760,ssm
blk.0.ssm_beta.weight,Q4_K,5120x48,1996448896,245760,ssm
blk.0.ssm_conv1d.weight,F32,4x10240,1996587136,40960,conv
blk.0.ssm_dt.bias,F32,48,1996750976,48,ssm
blk.0.ssm_norm.weight,F32,128,1996751168,128,ssm
blk.0.ssm_out.weight,Q4_K,6144x5120,1996751680,31457280,ssm
blk.1.attn_gate.weight,Q4_K,5120x6144,2014446400,31457280,attention
blk.1.attn_norm.weight,F32,5120,2032141120,5120,attention
blk.1.attn_qkv.weight,Q5_K,5120x10240,2032161600,52428800,attention
blk.1.ffn_down.weight,Q6_K,17408x5120,2068206400,89128960,ffn
blk.1.ffn_gate.weight,Q4_K,5120x17408,2141320000,89128960,ffn
blk.1.ffn_up.weight,Q4_K,5120x17408,2191455040,89128960,ffn
blk.1.post_attention_norm.weight,F32,5120,2241590080,5120,norm
blk.1.ssm_a,F32,48,2241610560,48,ssm
blk.1.ssm_alpha.weight,Q4_K,5120x48,2241610752,245760,ssm
blk.1.ssm_beta.weight,Q4_K,5120x48,2241748992,245760,ssm
blk.1.ssm_conv1d.weight,F32,4x10240,2241887232,40960,conv
blk.1.ssm_dt.bias,F32,48,2242051072,48,ssm
blk.1.ssm_norm.weight,F32,128,2242051264,128,ssm
blk.1.ssm_out.weight,Q4_K,6144x5120,2242051776,31457280,ssm
blk.2.attn_gate.weight,Q4_K,5120x6144,2259746496,31457280,attention
blk.2.attn_norm.weight,F32,5120,2277441216,5120,attention
blk.2.attn_qkv.weight,Q5_K,5120x10240,2277461696,52428800,attention
blk.2.ffn_down.weight,Q6_K,17408x5120,2313506496,89128960,ffn
blk.2.ffn_gate.weight,Q4_K,5120x17408,2386620096,89128960,ffn
blk.2.ffn_up.weight,Q4_K,5120x17408,2436755136,89128960,ffn
blk.2.post_attention_norm.weight,F32,5120,2486890176,5120,norm
blk.2.ssm_a,F32,48,2486910656,48,ssm
blk.2.ssm_alpha.weight,Q4_K,5120x48,2486910848,245760,ssm
blk.2.ssm_beta.weight,Q4_K,5120x48,2487049088,245760,ssm
blk.2.ssm_conv1d.weight,F32,4x10240,2487187328,40960,conv
blk.2.ssm_dt.bias,F32,48,2487351168,48,ssm
blk.2.ssm_norm.weight,F32,128,2487351360,128,ssm
blk.2.ssm_out.weight,Q4_K,6144x5120,2487351872,31457280,ssm
blk.3.attn_k.weight,Q4_K,5120x1024,2505046592,5242880,attention
blk.3.attn_k_norm.weight,F32,256,2507995712,256,attention
blk.3.attn_norm.weight,F32,5120,2507996736,5120,attention
blk.3.attn_output.weight,Q4_K,6144x5120,2508017216,31457280,output
blk.3.attn_q.weight,Q4_K,5120x12288,2525711936,62914560,attention
blk.3.attn_q_norm.weight,F32,256,2561101376,256,attention
blk.3.attn_v.weight,Q6_K,5120x1024,2561102400,5242880,attention
blk.3.ffn_down.weight,Q6_K,17408x5120,2565403200,89128960,ffn
blk.3.ffn_gate.weight,Q4_K,5120x17408,2638516800,89128960,ffn
blk.3.ffn_up.weight,Q4_K,5120x17408,2688651840,89128960,ffn
blk.3.post_attention_norm.weight,F32,5120,2738786880,5120,norm
blk.4.attn_gate.weight,Q4_K,5120x6144,2738807360,31457280,attention
blk.4.attn_norm.weight,F32,5120,2756502080,5120,attention
blk.4.attn_qkv.weight,Q5_K,5120x10240,2756522560,52428800,attention
blk.4.ffn_down.weight,Q6_K,17408x5120,2792567360,89128960,ffn
blk.4.ffn_gate.weight,Q4_K,5120x17408,2865680960,89128960,ffn
blk.4.ffn_up.weight,Q4_K,5120x17408,2915816000,89128960,ffn
blk.4.post_attention_norm.weight,F32,5120,2965951040,5120,norm
blk.4.ssm_a,F32,48,2965971520,48,ssm
blk.4.ssm_alpha.weight,Q4_K,5120x48,2965971712,245760,ssm
blk.4.ssm_beta.weight,Q4_K,5120x48,2966109952,245760,ssm
blk.4.ssm_conv1d.weight,F32,4x10240,2966248192,40960,conv
blk.4.ssm_dt.bias,F32,48,2966412032,48,ssm
blk.4.ssm_norm.weight,F32,128,2966412224,128,ssm
blk.4.ssm_out.weight,Q4_K,6144x5120,2966412736,31457280,ssm
blk.5.attn_gate.weight,Q4_K,5120x6144,2984107456,31457280,attention
blk.5.attn_norm.weight,F32,5120,3001802176,5120,attention
blk.5.attn_qkv.weight,Q5_K,5120x10240,3001822656,52428800,attention
blk.5.ffn_down.weight,Q6_K,17408x5120,3037867456,89128960,ffn
blk.5.ffn_gate.weight,Q4_K,5120x17408,3110981056,89128960,ffn
blk.5.ffn_up.weight,Q4_K,5120x17408,3161116096,89128960,ffn
blk.5.post_attention_norm.weight,F32,5120,3211251136,5120,norm
blk.5.ssm_a,F32,48,3211271616,48,ssm
blk.5.ssm_alpha.weight,Q4_K,5120x48,3211271808,245760,ssm
blk.5.ssm_beta.weight,Q4_K,5120x48,3211410048,245760,ssm
blk.5.ssm_conv1d.weight,F32,4x10240,3211548288,40960,conv
blk.5.ssm_dt.bias,F32,48,3211712128,48,ssm
blk.5.ssm_norm.weight,F32,128,3211712320,128,ssm
blk.5.ssm_out.weight,Q4_K,6144x5120,3211712832,31457280,ssm
blk.6.attn_gate.weight,Q4_K,5120x6144,3229407552,31457280,attention
blk.6.attn_norm.weight,F32,5120,3247102272,5120,attention
