ARCH-CERT-001: GGUF Tensor/Operation Inventory
Model: F:\~dev\tinyllama_fresh.gguf
GGUF version: 3
Tensor count: 201
Tensor data offset: 1709440

=== Category Summary ===
Category,Count,ApproxSize
embedding,1,65536000
attention,88,115388416
ffn,88,761311232
output,24,157812736

=== Full Inventory ===
Name,Type,Shape,Offset,Size,Category
output.weight,Q6_K,2048x32000,1709440,65536000,output
token_embd.weight,Q4_0,2048x32000,55469440,65536000,embedding
blk.0.attn_norm.weight,F32,2048,92333440,2048,attention
blk.0.ffn_down.weight,Q4_0,5632x2048,92341632,11534336,ffn
blk.0.ffn_gate.weight,Q4_0,2048x5632,98829696,11534336,ffn
blk.0.ffn_up.weight,Q4_0,2048x5632,105317760,11534336,ffn
blk.0.ffn_norm.weight,F32,2048,111805824,2048,ffn
blk.0.attn_k.weight,Q4_0,2048x256,111814016,524288,attention
blk.0.attn_output.weight,Q4_0,2048x2048,112108928,4194304,output
blk.0.attn_q.weight,Q4_0,2048x2048,114468224,4194304,attention
blk.0.attn_v.weight,Q4_0,2048x256,116827520,524288,attention
blk.1.attn_norm.weight,F32,2048,117122432,2048,attention
blk.1.ffn_down.weight,Q4_0,5632x2048,117130624,11534336,ffn
blk.1.ffn_gate.weight,Q4_0,2048x5632,123618688,11534336,ffn
blk.1.ffn_up.weight,Q4_0,2048x5632,130106752,11534336,ffn
blk.1.ffn_norm.weight,F32,2048,136594816,2048,ffn
blk.1.attn_k.weight,Q4_0,2048x256,136603008,524288,attention
blk.1.attn_output.weight,Q4_0,2048x2048,136897920,4194304,output
blk.1.attn_q.weight,Q4_0,2048x2048,139257216,4194304,attention
blk.1.attn_v.weight,Q4_0,2048x256,141616512,524288,attention
blk.10.attn_norm.weight,F32,2048,141911424,2048,attention
blk.10.ffn_down.weight,Q4_0,5632x2048,141919616,11534336,ffn
blk.10.ffn_gate.weight,Q4_0,2048x5632,148407680,11534336,ffn
blk.10.ffn_up.weight,Q4_0,2048x5632,154895744,11534336,ffn
blk.10.ffn_norm.weight,F32,2048,161383808,2048,ffn
blk.10.attn_k.weight,Q4_0,2048x256,161392000,524288,attention
blk.10.attn_output.weight,Q4_0,2048x2048,161686912,4194304,output
blk.10.attn_q.weight,Q4_0,2048x2048,164046208,4194304,attention
blk.10.attn_v.weight,Q4_0,2048x256,166405504,524288,attention
blk.11.attn_norm.weight,F32,2048,166700416,2048,attention
blk.11.ffn_down.weight,Q4_0,5632x2048,166708608,11534336,ffn
blk.11.ffn_gate.weight,Q4_0,2048x5632,173196672,11534336,ffn
blk.11.ffn_up.weight,Q4_0,2048x5632,179684736,11534336,ffn
blk.11.ffn_norm.weight,F32,2048,186172800,2048,ffn
blk.11.attn_k.weight,Q4_0,2048x256,186180992,524288,attention
blk.11.attn_output.weight,Q4_0,2048x2048,186475904,4194304,output
blk.11.attn_q.weight,Q4_0,2048x2048,188835200,4194304,attention
blk.11.attn_v.weight,Q4_0,2048x256,191194496,524288,attention
blk.12.attn_norm.weight,F32,2048,191489408,2048,attention
