Magic:    b'GGUF'
Version:  3
Tensors:  98
Metadata: 63
Metadata end:      6911082
Tensor info start: 6911082
Tensor info end:   6917260
Data offset:       6917280
Tensors parsed:    98

Idx  Name                                          Dims                      Type     RelOff       AbsOff      
--------------------------------------------------------------------------------------------------------------
0    output.weight                                 7168x163840               IQ2_XXS  0            6917280     
1    output_norm.weight                            7168                      F32      963379200    970296480   
2    token_embd.weight                             7168x163840               Q6_K     963407872    970325152   
3    blk.0.attn_k_b.weight                         128x512x64                Q2_K     1624010752   1630928032  
4    blk.0.attn_kv_a_mqa.weight                    7168x576                  Q2_K     1628467200   1635384480  
5    blk.0.attn_kv_a_norm.weight                   512                       F32      1632854016   1639771296  
6    blk.0.attn_norm.weight                        7168                      F32      1632856064   1639773344  
7    blk.0.attn_output.weight                      8192x7168                 Q6_K     1632884736   1639802016  
8    blk.0.attn_q_a.weight                         7168x1536                 Q6_K     1665914880   1672832160  
9    blk.0.attn_q_a_norm.weight                    1536                      F32      1672108032   1679025312  
10   blk.0.attn_q_b.weight                         1536x12288                Q6_K     1672114176   1679031456  
11   blk.0.attn_v_b.weight                         512x128x64                Q2_K     1682731008   1689648288  
12   blk.0.ffn_down.weight                         18432x7168                IQ2_XXS  1687187456   1694104736  
13   blk.0.ffn_gate.weight                         7168x18432                Q6_K     1795567616   1802484896  
14   blk.0.ffn_norm.weight                         7168                      F32      1869885440   1876802720  
15   blk.0.ffn_up.weight                           7168x18432                Q6_K     1869914112   1876831392  
16   blk.1.attn_k_b.weight                         128x512x64                Q2_K     1944231936   1951149216  
17   blk.1.attn_kv_a_mqa.weight                    7168x576                  Q2_K     1948688384   1955605664  
18   blk.1.attn_kv_a_norm.weight                   512                       F32      1953075200   1959992480  
19   blk.1.attn_norm.weight                        7168                      F32      1953077248   1959994528  
20   blk.1.attn_output.weight                      8192x7168                 Q6_K     1953105920   1960023200  
21   blk.1.attn_q_a.weight                         7168x1536                 Q6_K     1986136064   1993053344  
22   blk.1.attn_q_a_norm.weight                    1536                      F32      1992329216   1999246496  
23   blk.1.attn_q_b.weight                         1536x12288                Q6_K     1992335360   1999252640  
24   blk.1.attn_v_b.weight                         512x128x64                Q2_K     2002952192   2009869472  
25   blk.1.exp_probs_b.bias                        384                       F32      2007408640   2014325920  
26   blk.1.ffn_down_exps.weight                    2048x7168x384             IQ2_XXS  2007410176   2014327456  
