 Assembling: D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(5) : error A2008:syntax error : section
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(6) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(7) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(10) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(11) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(12) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(14) : error A2008:syntax error : section
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(15) : error A2008:syntax error : in directive
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(16) : error A2008:syntax error : in directive
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(17) : error A2008:syntax error : in directive
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(18) : error A2008:syntax error : in directive
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(19) : error A2008:syntax error : in directive
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(20) : error A2008:syntax error : in directive
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(21) : error A2008:syntax error : in directive
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(22) : error A2008:syntax error : in directive
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(24) : error A2008:syntax error : global
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(25) : error A2008:syntax error : global
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(26) : error A2008:syntax error : global
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(29) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(30) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\ada_compiler_fixed.asm\1768594170170_9I6Y.asm(31) : error A2034:must be in segment block
