 Assembling: D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(21) : error A2008:syntax error : section
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(22) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(25) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(26) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(27) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(28) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(29) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(30) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(31) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(283) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(284) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(285) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(286) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(287) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(288) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(289) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(290) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(291) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(292) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(293) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(294) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(295) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(297) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(298) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(299) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(300) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(301) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(302) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(303) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(304) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(305) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(306) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(309) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(310) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(311) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(312) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(313) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(314) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(315) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(316) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(317) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(318) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(319) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(320) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(321) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(322) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(323) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(324) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(325) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(326) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(327) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(328) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(329) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1768661090339_qm0t.asm(330) : error A2034:must be in segment block
