 Assembling: D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(5) : error A2008:syntax error : section
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(6) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(7) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(8) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(9) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(10) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(11) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(12) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(15) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(16) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(17) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(18) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(21) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(22) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(25) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(28) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(29) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(31) : error A2008:syntax error : section
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\powershell_compiler_from_scratch.asm\1768663771015_0NWp.asm(34) : error A2034:must be in segment block
