 Assembling: D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(5) : error A2008:syntax error : section
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(6) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(9) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(10) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(13) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(14) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(17) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(18) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(21) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(24) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(25) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(28) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(29) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(31) : error A2008:syntax error : section
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(34) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(35) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(36) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(39) : error A2034:must be in segment block
D:\rawrxd\.archive\history\all_versions\itsmehrawrxd-master\universal_cross_platform_compiler.asm\1768663858109_SI8E.asm(42) : error A2034:must be in segment block
