 Assembling: D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(12) : error A2008:syntax error : global
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(13) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(15) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(16) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(17) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(19) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(20) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(21) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(22) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(26) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(27) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(28) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(29) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(30) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(33) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(34) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(35) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(36) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(54) : error A2008:syntax error : .
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(56) : error A2048:nondigit in number
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(57) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(58) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(59) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(60) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(62) : error A2008:syntax error : section
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(65) : error A2008:syntax error : section
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(70) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(71) : error A2008:syntax error : ,
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(73) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(74) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(75) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(80) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(81) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(83) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(85) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(90) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(91) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(93) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(94) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(107) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(108) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(109) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(110) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(111) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(112) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(114) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(115) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(116) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(118) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(119) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(120) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(121) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(123) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(124) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(125) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(126) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(129) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(130) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(131) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(132) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(133) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(134) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(135) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(136) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(137) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(138) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(139) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(140) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(141) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(142) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(143) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(144) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(145) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159083491_zxI5.asm(146) : error A2034:must be in segment block
