 Assembling: D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(12) : error A2008:syntax error : global
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(13) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(15) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(16) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(17) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(19) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(20) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(21) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(22) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(26) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(27) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(28) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(29) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(30) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(33) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(34) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(35) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(36) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(54) : error A2008:syntax error : .
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(56) : error A2048:nondigit in number
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(57) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(58) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(59) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(60) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(62) : error A2008:syntax error : section
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(65) : error A2008:syntax error : section
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(70) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(71) : error A2008:syntax error : ,
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(73) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(74) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(75) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(80) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(81) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(83) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(85) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\vulkan_masm.asm\1769159111665_oPFq.asm(90) : error A2034:must be in segment block
