 Assembling: D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(42) : error A2008:syntax error : stats
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(55) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(56) : error A2034:must be in segment block : AI_Inference_Execute
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(62) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(63) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(64) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(65) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(66) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(67) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(68) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(69) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(71) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(72) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(73) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(74) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(79) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(80) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(82) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(83) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(85) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(86) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(88) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(89) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(91) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(92) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(93) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(95) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(96) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(97) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(102) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(103) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(104) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(105) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(106) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(107) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(108) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(109) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(110) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(113) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(114) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(115) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(116) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(117) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(118) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(120) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(121) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(122) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(123) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(124) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(125) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(128) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(129) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\agentic\RawrXD_Complete_Production_Fix.asm\1769583243617_Jgoq.asm(130) : error A2034:must be in segment block
