 Assembling: D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(1049) : error A2070:invalid instruction operands
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(775) : error A2022:instruction operands must be the same size
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(784) : error A2022:instruction operands must be the same size
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(787) : error A2022:instruction operands must be the same size
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(796) : error A2022:instruction operands must be the same size
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(800) : error A2022:instruction operands must be the same size
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(165) : warning A6004:procedure argument or local not referenced : hModule
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(165) : warning A6004:procedure argument or local not referenced : dwReason
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(165) : warning A6004:procedure argument or local not referenced : lpReserved
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(316) : warning A6004:procedure argument or local not referenced : pCtx
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(316) : warning A6004:procedure argument or local not referenced : pFilePath
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(377) : warning A6004:procedure argument or local not referenced : pCtx
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(377) : warning A6004:procedure argument or local not referenced : token
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(377) : warning A6004:procedure argument or local not referenced : pos
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(377) : warning A6004:procedure argument or local not referenced : pLogits
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(654) : warning A6004:procedure argument or local not referenced : pCtx
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(654) : warning A6004:procedure argument or local not referenced : pEmbeddings
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(734) : warning A6004:procedure argument or local not referenced : pHidden
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(734) : warning A6004:procedure argument or local not referenced : dim
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(817) : warning A6004:procedure argument or local not referenced : pHidden
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(817) : warning A6004:procedure argument or local not referenced : pQKV
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(900) : warning A6004:procedure argument or local not referenced : pQ
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(900) : warning A6004:procedure argument or local not referenced : pK
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(900) : warning A6004:procedure argument or local not referenced : pV
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(900) : warning A6004:procedure argument or local not referenced : n_head
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(900) : warning A6004:procedure argument or local not referenced : pOut
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(995) : warning A6004:procedure argument or local not referenced : pHidden
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(995) : warning A6004:procedure argument or local not referenced : n_embd
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(995) : warning A6004:procedure argument or local not referenced : n_ff
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(1084) : warning A6004:procedure argument or local not referenced : pInput
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(1084) : warning A6004:procedure argument or local not referenced : pOutput
D:\rawrxd\history\all_versions\Ship\RawrXD_NativeModelBridge_v2_FIXED.asm\1769639426019_fC6Q.asm(1084) : warning A6004:procedure argument or local not referenced : n_embd
