 Assembling: D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(235) : error A2008:syntax error : offset
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1126) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1236) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1240) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1244) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1248) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1252) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1258) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1260) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1264) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1266) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1270) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1409) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1410) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1449) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1584) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1589) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1742) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1746) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1750) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1751) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1759) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1763) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1767) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1774) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1778) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1782) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1783) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1789) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1793) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(1797) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(3080) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(3194) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(3195) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(3196) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(3204) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(3206) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(3209) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(3304) : error A2029:multiple base registers not allowed
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(3316) : error A2081:missing operand after unary operator
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(3317) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(3400) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(3410) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(3412) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(3431) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(3440) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470931525_KY37.asm(3442) : error A2098:invalid operand for OFFSET
