 Assembling: D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(235) : error A2008:syntax error : offset
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1126) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1236) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1240) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1244) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1248) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1252) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1258) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1260) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1264) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1266) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1270) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1409) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1410) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1449) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1584) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1589) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1742) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1746) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1750) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1751) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1759) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1763) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1767) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1774) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1778) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1782) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1783) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1789) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1793) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(1797) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(3319) : error A2081:missing operand after unary operator
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(3320) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(3403) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(3413) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(3415) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(3434) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(3443) : error A2098:invalid operand for OFFSET
D:\rawrxd\history\all_versions\src\asm\RawrCodex.asm\1770470995122_Fuog.asm(3445) : error A2098:invalid operand for OFFSET
