 Assembling: D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(21) : error A2008:syntax error : section
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(22) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(25) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(26) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(27) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(28) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(29) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(30) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(31) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(283) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(284) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(285) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(286) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(287) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(288) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(289) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(290) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(291) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(292) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(293) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(294) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(295) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(297) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(298) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(299) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(300) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(301) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(302) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(303) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(304) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(305) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771285899272_zRjO.asm(306) : error A2034:must be in segment block
