 Assembling: D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm(21) : error A2008:syntax error : section
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm(22) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm(25) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm(26) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm(27) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm(28) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm(29) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm(30) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm(31) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm(283) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm(284) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm(285) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm(286) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm(287) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm(288) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm(289) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm(290) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287245042_So5s.asm(291) : error A2034:must be in segment block
