 Assembling: D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(21) : error A2008:syntax error : section
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(22) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(25) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(26) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(27) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(28) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(29) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(30) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(31) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(283) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(284) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(285) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(286) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(287) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(288) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(289) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(290) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(291) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(292) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(293) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(294) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(295) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(297) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(298) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(299) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(300) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(301) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(302) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(303) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(304) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(305) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(306) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(309) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(310) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(311) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(312) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(313) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(314) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(315) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(316) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(317) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(318) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(319) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(320) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(321) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(322) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(323) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(324) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(325) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(326) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(327) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(328) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(329) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(330) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(331) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(332) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(333) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(334) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(335) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(336) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(337) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(338) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(339) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(340) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(341) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(342) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(343) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(344) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(345) : error A2034:must be in segment block
D:\rawrxd\history\all_versions\src\asm\solo_standalone_compiler.asm\1771287274096_7rIF.asm(346) : error A2034:must be in segment block
