 Assembling: D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1) : error A2044:invalid character in file
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(12) : error A2008:syntax error : WIN64
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(46) : error A2064:structure alignment must be 1, 2, 4, 8, or 16
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(59) : error A2008:syntax error : length
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(72) : error A2064:structure alignment must be 1, 2, 4, 8, or 16
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(101) : error A2008:syntax error : offset
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(102) : error A2008:syntax error : length
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(116) : error A2064:structure alignment must be 1, 2, 4, 8, or 16
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(137) : error A2064:structure alignment must be 1, 2, 4, 8, or 16
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(175) : error A2189:invalid combination with segment alignment : 64
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(591) : error A2070:invalid instruction operands
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(1412) : error A2189:invalid combination with segment alignment : 64
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(189) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(196) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(200) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287679471_1Mez.ASM(202) : error A2006:undefined symbol : QUANTUM_BUFFER
