 Assembling: D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1) : error A2044:invalid character in file
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(12) : error A2008:syntax error : WIN64
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(46) : error A2064:structure alignment must be 1, 2, 4, 8, or 16
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(59) : error A2008:syntax error : length
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(72) : error A2064:structure alignment must be 1, 2, 4, 8, or 16
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(101) : error A2008:syntax error : offset
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(102) : error A2008:syntax error : length
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(116) : error A2064:structure alignment must be 1, 2, 4, 8, or 16
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(137) : error A2064:structure alignment must be 1, 2, 4, 8, or 16
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(175) : error A2189:invalid combination with segment alignment : 64
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(591) : error A2070:invalid instruction operands
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(1952) : error A2189:invalid combination with segment alignment : 64
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(189) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(196) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(200) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(202) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(206) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(210) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(213) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(233) : error A2022:instruction operands must be the same size
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(238) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(264) : error A2006:undefined symbol : vblank_sync
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(282) : error A2006:undefined symbol : ApplyGlitchEffect
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(287) : error A2006:undefined symbol : RenderParticles
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(291) : error A2006:undefined symbol : RenderScanlines
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(327) : error A2006:undefined symbol : SSE4Blur
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(330) : error A2006:undefined symbol : AVX512Blur
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(350) : error A2006:undefined symbol : LINE
D:\rawrxd\history\all_versions\src\agentic\monaco\NEON_MONACO_CORE.ASM\1771287726240_JZh8.ASM(406) : error A2006:undefined symbol : g_NextBranchId
