 Assembling: D:\rawrxd\history\-1ac12352\28SK.asm
D:\rawrxd\history\-1ac12352\28SK.asm(13) : error A2008:syntax error : section
D:\rawrxd\history\-1ac12352\28SK.asm(15) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(16) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(17) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(18) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(21) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(22) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(25) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(26) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(27) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(31) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(32) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(33) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(34) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(35) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(36) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(37) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(38) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(39) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(42) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(45) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(46) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(47) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(48) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(51) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(52) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(53) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(54) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(55) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(58) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(61) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(64) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(65) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(66) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(69) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(70) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(71) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(74) : error A2034:must be in segment block
D:\rawrxd\history\-1ac12352\28SK.asm(77) : error A2034:must be in segment block
