 Assembling: D:\rawrxd\history\-2b4f82f3\3sSX.asm
D:\rawrxd\history\-2b4f82f3\3sSX.asm(6) : error A2008:syntax error : BITS
D:\rawrxd\history\-2b4f82f3\3sSX.asm(7) : error A2008:syntax error : DEFAULT
D:\rawrxd\history\-2b4f82f3\3sSX.asm(13) : error A2008:syntax error : section
D:\rawrxd\history\-2b4f82f3\3sSX.asm(15) : error A2008:syntax error : global
D:\rawrxd\history\-2b4f82f3\3sSX.asm(16) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(17) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(18) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(19) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(20) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(21) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(22) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(23) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(24) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(25) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(26) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(27) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(29) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(35) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\3sSX.asm(36) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\3sSX.asm(37) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\3sSX.asm(38) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\3sSX.asm(39) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\3sSX.asm(40) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\3sSX.asm(41) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\3sSX.asm(43) : error A2008:syntax error : section
D:\rawrxd\history\-2b4f82f3\3sSX.asm(50) : error A2008:syntax error : global
D:\rawrxd\history\-2b4f82f3\3sSX.asm(51) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(53) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(56) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(59) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(62) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(65) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(67) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(68) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(81) : error A2008:syntax error : global
D:\rawrxd\history\-2b4f82f3\3sSX.asm(82) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(83) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(84) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(85) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(88) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(89) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(92) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(93) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(96) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(97) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(98) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(99) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(102) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(103) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(104) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(105) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(108) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(110) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(112) : error A2008:syntax error : .
D:\rawrxd\history\-2b4f82f3\3sSX.asm(113) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(115) : error A2008:syntax error : .
D:\rawrxd\history\-2b4f82f3\3sSX.asm(116) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(117) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(118) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(124) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(125) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(127) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(128) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(130) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(132) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(133) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(134) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(135) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(141) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(142) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(143) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(144) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(145) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(148) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(150) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(152) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(153) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(154) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(155) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(157) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(158) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(160) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(161) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(163) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(164) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(166) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(167) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(169) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(170) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(182) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(183) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(184) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(185) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(186) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(187) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(188) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(189) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(191) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(192) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(193) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\3sSX.asm(196) : fatal error A1012:error count exceeds 100; stopping assembly
