 Assembling: D:\rawrxd\history\-2b4f82f3\6OhS.asm
D:\rawrxd\history\-2b4f82f3\6OhS.asm(6) : error A2008:syntax error : BITS
D:\rawrxd\history\-2b4f82f3\6OhS.asm(7) : error A2008:syntax error : DEFAULT
D:\rawrxd\history\-2b4f82f3\6OhS.asm(13) : error A2008:syntax error : section
D:\rawrxd\history\-2b4f82f3\6OhS.asm(15) : error A2008:syntax error : global
D:\rawrxd\history\-2b4f82f3\6OhS.asm(16) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(17) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(18) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(19) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(20) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(21) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(22) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(23) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(24) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(25) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(26) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(27) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(29) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(32) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(38) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\6OhS.asm(39) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\6OhS.asm(40) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\6OhS.asm(41) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\6OhS.asm(42) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\6OhS.asm(43) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\6OhS.asm(44) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\6OhS.asm(52) : error A2008:syntax error : section
D:\rawrxd\history\-2b4f82f3\6OhS.asm(54) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(56) : error A2008:syntax error : section
D:\rawrxd\history\-2b4f82f3\6OhS.asm(63) : error A2008:syntax error : global
D:\rawrxd\history\-2b4f82f3\6OhS.asm(64) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(66) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(69) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(72) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(75) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(78) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(80) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(81) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\6OhS.asm(94) : error A2008:syntax error : global
