 Assembling: D:\rawrxd\history\-2cab8cce\7Rtv.asm
D:\rawrxd\history\-2cab8cce\7Rtv.asm(67) : error A2008:syntax error : in instruction
D:\rawrxd\history\-2cab8cce\7Rtv.asm(623) : error A2005:symbol redefinition : szTempExt
D:\rawrxd\history\-2cab8cce\7Rtv.asm(198) : error A2006:undefined symbol : expand_path
D:\rawrxd\history\-2cab8cce\7Rtv.asm(204) : error A2006:undefined symbol : wsprintfA
D:\rawrxd\history\-2cab8cce\7Rtv.asm(210) : error A2006:undefined symbol : strcpy_with_ext
D:\rawrxd\history\-2cab8cce\7Rtv.asm(214) : error A2006:undefined symbol : asm_log
D:\rawrxd\history\-2cab8cce\7Rtv.asm(239) : error A2006:undefined symbol : strcpy_with_ext
D:\rawrxd\history\-2cab8cce\7Rtv.asm(242) : error A2032:invalid use of register
D:\rawrxd\history\-2cab8cce\7Rtv.asm(248) : error A2006:undefined symbol : INVALID_HANDLE_VALUE
D:\rawrxd\history\-2cab8cce\7Rtv.asm(282) : error A2006:undefined symbol : persist_write_hotpatch_state
D:\rawrxd\history\-2cab8cce\7Rtv.asm(287) : error A2006:undefined symbol : persist_write_footer
D:\rawrxd\history\-2cab8cce\7Rtv.asm(298) : error A2006:undefined symbol : MoveFileA
D:\rawrxd\history\-2cab8cce\7Rtv.asm(302) : error A2006:undefined symbol : MoveFileA
D:\rawrxd\history\-2cab8cce\7Rtv.asm(307) : error A2006:undefined symbol : GetTickCount
D:\rawrxd\history\-2cab8cce\7Rtv.asm(313) : error A2006:undefined symbol : wsprintfA
D:\rawrxd\history\-2cab8cce\7Rtv.asm(321) : error A2084:constant value too large
D:\rawrxd\history\-2cab8cce\7Rtv.asm(322) : error A2006:undefined symbol : wsprintfA
D:\rawrxd\history\-2cab8cce\7Rtv.asm(351) : error A2006:undefined symbol : asm_log
D:\rawrxd\history\-2cab8cce\7Rtv.asm(355) : error A2006:undefined symbol : GENERIC_READ
D:\rawrxd\history\-2cab8cce\7Rtv.asm(357) : error A2006:undefined symbol : OPEN_EXISTING
D:\rawrxd\history\-2cab8cce\7Rtv.asm(360) : error A2006:undefined symbol : INVALID_HANDLE_VALUE
D:\rawrxd\history\-2cab8cce\7Rtv.asm(364) : error A2006:undefined symbol : persist_read_header
D:\rawrxd\history\-2cab8cce\7Rtv.asm(376) : error A2006:undefined symbol : persist_read_metadata
D:\rawrxd\history\-2cab8cce\7Rtv.asm(377) : error A2006:undefined symbol : persist_read_chat_history
D:\rawrxd\history\-2cab8cce\7Rtv.asm(378) : error A2006:undefined symbol : persist_read_editor_state
D:\rawrxd\history\-2cab8cce\7Rtv.asm(379) : error A2006:undefined symbol : persist_read_layout
D:\rawrxd\history\-2cab8cce\7Rtv.asm(380) : error A2006:undefined symbol : persist_read_model_memory
D:\rawrxd\history\-2cab8cce\7Rtv.asm(381) : error A2006:undefined symbol : persist_read_hotpatch_state
D:\rawrxd\history\-2cab8cce\7Rtv.asm(384) : error A2006:undefined symbol : persist_verify_crc
D:\rawrxd\history\-2cab8cce\7Rtv.asm(394) : error A2006:undefined symbol : GENERIC_READ
D:\rawrxd\history\-2cab8cce\7Rtv.asm(396) : error A2006:undefined symbol : OPEN_EXISTING
D:\rawrxd\history\-2cab8cce\7Rtv.asm(399) : error A2006:undefined symbol : INVALID_HANDLE_VALUE
D:\rawrxd\history\-2cab8cce\7Rtv.asm(403) : error A2006:undefined symbol : asm_log
D:\rawrxd\history\-2cab8cce\7Rtv.asm(405) : error A2006:undefined symbol : persist_read_header
D:\rawrxd\history\-2cab8cce\7Rtv.asm(497) : error A2006:undefined symbol : GetTickCount
D:\rawrxd\history\-2cab8cce\7Rtv.asm(560) : error A2006:undefined symbol : strcpy_with_ext
D:\rawrxd\history\-2cab8cce\7Rtv.asm(573) : error A2006:undefined symbol : INVALID_HANDLE_VALUE
D:\rawrxd\history\-2cab8cce\7Rtv.asm(598) : error A2006:undefined symbol : persist_write_footer
