 Assembling: D:\rawrxd\history\-2b4f82f3\7xzY.asm
D:\rawrxd\history\-2b4f82f3\7xzY.asm(6) : error A2008:syntax error : BITS
D:\rawrxd\history\-2b4f82f3\7xzY.asm(7) : error A2008:syntax error : DEFAULT
D:\rawrxd\history\-2b4f82f3\7xzY.asm(13) : error A2008:syntax error : section
D:\rawrxd\history\-2b4f82f3\7xzY.asm(15) : error A2008:syntax error : global
D:\rawrxd\history\-2b4f82f3\7xzY.asm(16) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(17) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(18) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(19) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(20) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(21) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(22) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(23) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(24) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(25) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(26) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(27) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(29) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(35) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\7xzY.asm(36) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\7xzY.asm(37) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\7xzY.asm(38) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\7xzY.asm(39) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\7xzY.asm(40) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\7xzY.asm(41) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\7xzY.asm(43) : error A2008:syntax error : section
D:\rawrxd\history\-2b4f82f3\7xzY.asm(50) : error A2008:syntax error : global
D:\rawrxd\history\-2b4f82f3\7xzY.asm(51) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(53) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(56) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(59) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(62) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(65) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(67) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(68) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(81) : error A2008:syntax error : global
D:\rawrxd\history\-2b4f82f3\7xzY.asm(82) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(83) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(84) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(85) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(88) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(89) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(92) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(93) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(96) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(97) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(98) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(99) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(102) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(103) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(104) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(105) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(108) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(110) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(112) : error A2008:syntax error : .
D:\rawrxd\history\-2b4f82f3\7xzY.asm(113) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(115) : error A2008:syntax error : .
D:\rawrxd\history\-2b4f82f3\7xzY.asm(116) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(117) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(118) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(124) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(125) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(127) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(128) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(130) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(132) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(133) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(135) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(136) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(138) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(139) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(141) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(142) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(144) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(145) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(147) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(148) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(160) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(161) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(162) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(163) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(164) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(165) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(166) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(168) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(169) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(170) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(173) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(174) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(182) : error A2008:syntax error : .
D:\rawrxd\history\-2b4f82f3\7xzY.asm(183) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(185) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(186) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(187) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(188) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(189) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(190) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(202) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(203) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(204) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(207) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\7xzY.asm(209) : fatal error A1012:error count exceeds 100; stopping assembly
