 Assembling: D:\rawrxd\history\-2943ace1\9XYR.asm
D:\rawrxd\history\-2943ace1\9XYR.asm(6) : error A2008:syntax error : bits
D:\rawrxd\history\-2943ace1\9XYR.asm(7) : error A2008:syntax error : default
D:\rawrxd\history\-2943ace1\9XYR.asm(12) : error A2008:syntax error : in directive
D:\rawrxd\history\-2943ace1\9XYR.asm(13) : error A2008:syntax error : in directive
D:\rawrxd\history\-2943ace1\9XYR.asm(14) : error A2008:syntax error : in directive
D:\rawrxd\history\-2943ace1\9XYR.asm(15) : error A2008:syntax error : in directive
D:\rawrxd\history\-2943ace1\9XYR.asm(16) : error A2008:syntax error : in directive
D:\rawrxd\history\-2943ace1\9XYR.asm(17) : error A2008:syntax error : in directive
D:\rawrxd\history\-2943ace1\9XYR.asm(18) : error A2008:syntax error : in directive
D:\rawrxd\history\-2943ace1\9XYR.asm(23) : error A2008:syntax error : section
D:\rawrxd\history\-2943ace1\9XYR.asm(25) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(26) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(27) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(28) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(29) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(30) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(33) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(34) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(35) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(36) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(40) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(41) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(42) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(45) : error A2034:must be in segment block
D:\rawrxd\history\-2943ace1\9XYR.asm(46) : error A2034:must be in segment block
