 Assembling: D:\rawrxd\history\-1ff88781\DETF.asm
D:\rawrxd\history\-1ff88781\DETF.asm(25) : error A2070:invalid instruction operands
D:\rawrxd\history\-1ff88781\DETF.asm(63) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(72) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(75) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(92) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(246) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(257) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(266) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(270) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(327) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(331) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(335) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(340) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(344) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(354) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(364) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(370) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(375) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(417) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(421) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(425) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(429) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(433) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(437) : error A2008:syntax error : .
D:\rawrxd\history\-1ff88781\DETF.asm(31) : error A2006:undefined symbol : malloc
D:\rawrxd\history\-1ff88781\DETF.asm(55) : error A2006:undefined symbol : gap_ready
D:\rawrxd\history\-1ff88781\DETF.asm(59) : error A2006:undefined symbol : move_gap_left
D:\rawrxd\history\-1ff88781\DETF.asm(65) : error A2006:undefined symbol : gap_ready
D:\rawrxd\history\-1ff88781\DETF.asm(70) : error A2006:undefined symbol : move_right_loop
D:\rawrxd\history\-1ff88781\DETF.asm(85) : error A2006:undefined symbol : expand_buffer
D:\rawrxd\history\-1ff88781\DETF.asm(248) : error A2006:undefined symbol : skip_gap
D:\rawrxd\history\-1ff88781\DETF.asm(250) : error A2006:undefined symbol : render_char
D:\rawrxd\history\-1ff88781\DETF.asm(255) : error A2006:undefined symbol : continue
D:\rawrxd\history\-1ff88781\DETF.asm(268) : error A2006:undefined symbol : render_loop
D:\rawrxd\history\-1ff88781\DETF.asm(300) : error A2206:missing operator in expression
D:\rawrxd\history\-1ff88781\DETF.asm(301) : error A2006:undefined symbol : handle_left
D:\rawrxd\history\-1ff88781\DETF.asm(302) : error A2206:missing operator in expression
D:\rawrxd\history\-1ff88781\DETF.asm(303) : error A2006:undefined symbol : handle_right
D:\rawrxd\history\-1ff88781\DETF.asm(304) : error A2206:missing operator in expression
D:\rawrxd\history\-1ff88781\DETF.asm(305) : error A2006:undefined symbol : handle_up
D:\rawrxd\history\-1ff88781\DETF.asm(306) : error A2206:missing operator in expression
D:\rawrxd\history\-1ff88781\DETF.asm(307) : error A2006:undefined symbol : handle_down
D:\rawrxd\history\-1ff88781\DETF.asm(308) : error A2206:missing operator in expression
D:\rawrxd\history\-1ff88781\DETF.asm(309) : error A2006:undefined symbol : handle_home
D:\rawrxd\history\-1ff88781\DETF.asm(310) : error A2206:missing operator in expression
D:\rawrxd\history\-1ff88781\DETF.asm(311) : error A2006:undefined symbol : handle_end
D:\rawrxd\history\-1ff88781\DETF.asm(312) : error A2206:missing operator in expression
D:\rawrxd\history\-1ff88781\DETF.asm(313) : error A2006:undefined symbol : handle_backspace
D:\rawrxd\history\-1ff88781\DETF.asm(314) : error A2206:missing operator in expression
D:\rawrxd\history\-1ff88781\DETF.asm(315) : error A2006:undefined symbol : handle_delete
D:\rawrxd\history\-1ff88781\DETF.asm(318) : error A2206:missing operator in expression
D:\rawrxd\history\-1ff88781\DETF.asm(319) : error A2006:undefined symbol : input_done
D:\rawrxd\history\-1ff88781\DETF.asm(320) : error A2206:missing operator in expression
D:\rawrxd\history\-1ff88781\DETF.asm(321) : error A2006:undefined symbol : input_done
D:\rawrxd\history\-1ff88781\DETF.asm(325) : error A2006:undefined symbol : input_done
D:\rawrxd\history\-1ff88781\DETF.asm(329) : error A2006:undefined symbol : input_done
D:\rawrxd\history\-1ff88781\DETF.asm(333) : error A2006:undefined symbol : input_done
D:\rawrxd\history\-1ff88781\DETF.asm(338) : error A2006:undefined symbol : input_done
D:\rawrxd\history\-1ff88781\DETF.asm(342) : error A2006:undefined symbol : input_done
D:\rawrxd\history\-1ff88781\DETF.asm(352) : error A2006:undefined symbol : input_done
D:\rawrxd\history\-1ff88781\DETF.asm(362) : error A2006:undefined symbol : input_done
D:\rawrxd\history\-1ff88781\DETF.asm(368) : error A2006:undefined symbol : input_done
