 Assembling: D:\rawrxd\RawrXD_InlineEdit_Keybinding.asm
D:\rawrxd\RawrXD_InlineEdit_Keybinding.asm(268) : error A2008:syntax error : .
D:\rawrxd\RawrXD_InlineEdit_Keybinding.asm(268) : error A2088:END directive required at end of file
D:\rawrxd\RawrXD_InlineEdit_Keybinding.asm(25) : error A2206:missing operator in expression
D:\rawrxd\RawrXD_InlineEdit_Keybinding.asm(26) : error A2206:missing operator in expression
D:\rawrxd\RawrXD_InlineEdit_Keybinding.asm(27) : error A2206:missing operator in expression
D:\rawrxd\RawrXD_InlineEdit_Keybinding.asm(52) : error A2006:undefined symbol : HOTKEY_ID_INLINE_EDIT
D:\rawrxd\RawrXD_InlineEdit_Keybinding.asm(53) : error A2006:undefined symbol : MOD_CONTROL
D:\rawrxd\RawrXD_InlineEdit_Keybinding.asm(54) : error A2006:undefined symbol : VK_K
D:\rawrxd\RawrXD_InlineEdit_Keybinding.asm(109) : error A2006:undefined symbol : HOTKEY_ID_INLINE_EDIT
D:\rawrxd\RawrXD_InlineEdit_Keybinding.asm(230) : error A2206:missing operator in expression
D:\rawrxd\RawrXD_InlineEdit_Keybinding.asm(240) : error A2206:missing operator in expression
D:\rawrxd\RawrXD_InlineEdit_Keybinding.asm(255) : error A2206:missing operator in expression
