 Assembling: D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(203) : error A2044:invalid character in file
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(255) : error A2008:syntax error : page
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(342) : error A2070:invalid instruction operands
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(844) : error A2088:END directive required at end of file
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(201) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(204) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(218) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(222) : error A2006:undefined symbol : @@init_do
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(253) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(254) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(256) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(257) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(258) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(259) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(260) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(261) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(262) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(263) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(264) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(265) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(266) : error A2206:missing operator in expression
D:\rawrxd\external\rawr_infra\Source\PE-Generator\RawrXD_PE_Generator_FULL.asm(267) : error A2206:missing operator in expression
