 Assembling: D:\rawrxd\history\-12c0189a\RtbQ.asm
D:\rawrxd\history\-12c0189a\RtbQ.asm(20) : error A2008:syntax error : ALIGN
D:\rawrxd\history\-12c0189a\RtbQ.asm(22) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(23) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(24) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(25) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(28) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(29) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(30) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(31) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(32) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(33) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(34) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(37) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(38) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(39) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(40) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(41) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(42) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(45) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(46) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(47) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(48) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(51) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(52) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(53) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(56) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(57) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(58) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(61) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(62) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(63) : error A2034:must be in segment block
D:\rawrxd\history\-12c0189a\RtbQ.asm(64) : fatal error A1010:unmatched block nesting : ENCODER_CTX
