 Assembling: D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(168) : error A2179:structure improperly initialized
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(168) : error A2065:expected : )
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(235) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(238) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(242) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(248) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(251) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(290) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(307) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(331) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(334) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(338) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(346) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(351) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0001\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_agentic_nlp_phase3.asm(356) : error A2008:syntax error : .
