 Assembling: D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(114) : error A2070:invalid instruction operands
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(115) : error A2070:invalid instruction operands
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(122) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(126) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(129) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(165) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(173) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(181) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(189) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(204) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(207) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(271) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(277) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(285) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(290) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(326) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(333) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(336) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(79) : error A2206:missing operator in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(86) : error A2006:undefined symbol : HeapAlloc
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(88) : error A2006:undefined symbol : inference_init_oom
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(97) : error A2022:instruction operands must be the same size
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(99) : error A2006:undefined symbol : HeapAlloc
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(101) : error A2006:undefined symbol : inference_init_queue_oom
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(109) : error A2006:undefined symbol : CreateMutex
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(113) : error A2006:undefined symbol : RIP
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(117) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(120) : error A2006:undefined symbol : inference_init_done
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(124) : error A2006:undefined symbol : HeapFree
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(130) : error A2206:missing operator in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(152) : error A2006:undefined symbol : inference_shutdown_invalid
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(156) : error A2006:undefined symbol : WaitForSingleObject
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(159) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(160) : error A2006:undefined symbol : inference_shutdown_no_model
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(163) : error A2006:undefined symbol : HeapFree
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(167) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(168) : error A2006:undefined symbol : inference_shutdown_no_kv
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(171) : error A2006:undefined symbol : HeapFree
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(175) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(176) : error A2006:undefined symbol : inference_shutdown_no_embed
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(179) : error A2006:undefined symbol : HeapFree
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(183) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(184) : error A2006:undefined symbol : inference_shutdown_no_queue
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(187) : error A2006:undefined symbol : HeapFree
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(192) : error A2006:undefined symbol : ReleaseMutex
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(195) : error A2006:undefined symbol : CloseHandle
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(199) : error A2006:undefined symbol : HeapFree
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(202) : error A2006:undefined symbol : inference_shutdown_done
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(225) : error A2206:missing operator in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(232) : error A2006:undefined symbol : WaitForSingleObject
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(235) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(236) : error A2006:undefined symbol : load_model_already_loaded
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(240) : error A2006:undefined symbol : HeapAlloc
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(242) : error A2006:undefined symbol : load_model_oom
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(250) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(258) : error A2006:undefined symbol : HeapAlloc
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(260) : error A2006:undefined symbol : load_model_kv_fail
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(266) : error A2006:undefined symbol : ReleaseMutex
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(269) : error A2006:undefined symbol : load_model_done
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(273) : error A2006:undefined symbol : ReleaseMutex
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(275) : error A2006:undefined symbol : load_model_done
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(279) : error A2006:undefined symbol : HeapFree
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(281) : error A2006:undefined symbol : ReleaseMutex
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(283) : error A2006:undefined symbol : load_model_done
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(287) : error A2006:undefined symbol : ReleaseMutex
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(291) : error A2206:missing operator in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(313) : error A2006:undefined symbol : WaitForSingleObject
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(316) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(317) : error A2006:undefined symbol : unload_model_not_loaded
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(320) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(321) : error A2006:undefined symbol : unload_model_no_handle
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(324) : error A2006:undefined symbol : HeapFree
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(328) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(331) : error A2006:undefined symbol : unload_model_release
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_inference_manager.asm(338) : error A2006:undefined symbol : ReleaseMutex
