 Assembling: D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(67) : error A2008:syntax error : in instruction
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(623) : error A2005:symbol redefinition : szTempExt
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(198) : error A2006:undefined symbol : expand_path
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(204) : error A2006:undefined symbol : wsprintfA
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(210) : error A2006:undefined symbol : strcpy_with_ext
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(214) : error A2006:undefined symbol : asm_log
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(239) : error A2006:undefined symbol : strcpy_with_ext
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(242) : error A2032:invalid use of register
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(248) : error A2006:undefined symbol : INVALID_HANDLE_VALUE
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(282) : error A2006:undefined symbol : persist_write_hotpatch_state
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(287) : error A2006:undefined symbol : persist_write_footer
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(298) : error A2006:undefined symbol : MoveFileA
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(302) : error A2006:undefined symbol : MoveFileA
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(307) : error A2006:undefined symbol : GetTickCount
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(313) : error A2006:undefined symbol : wsprintfA
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(321) : error A2084:constant value too large
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(322) : error A2006:undefined symbol : wsprintfA
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(351) : error A2006:undefined symbol : asm_log
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(355) : error A2006:undefined symbol : GENERIC_READ
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(357) : error A2006:undefined symbol : OPEN_EXISTING
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(360) : error A2006:undefined symbol : INVALID_HANDLE_VALUE
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(364) : error A2006:undefined symbol : persist_read_header
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(376) : error A2006:undefined symbol : persist_read_metadata
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(377) : error A2006:undefined symbol : persist_read_chat_history
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(378) : error A2006:undefined symbol : persist_read_editor_state
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(379) : error A2006:undefined symbol : persist_read_layout
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(380) : error A2006:undefined symbol : persist_read_model_memory
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(381) : error A2006:undefined symbol : persist_read_hotpatch_state
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(384) : error A2006:undefined symbol : persist_verify_crc
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(394) : error A2006:undefined symbol : GENERIC_READ
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(396) : error A2006:undefined symbol : OPEN_EXISTING
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(399) : error A2006:undefined symbol : INVALID_HANDLE_VALUE
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(403) : error A2006:undefined symbol : asm_log
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_memory_persistence.asm(405) : error A2006:undefined symbol : persist_read_header
