 Assembling: D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(167) : error A2070:invalid instruction operands
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(172) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(176) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(180) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(184) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(187) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(221) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(238) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(253) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(256) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(414) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(420) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(425) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(110) : error A2206:missing operator in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(117) : error A2006:undefined symbol : HeapAlloc
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(119) : error A2006:undefined symbol : server_init_oom
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(126) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(127) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(128) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(129) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(130) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(131) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(135) : error A2006:undefined symbol : HeapAlloc
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(137) : error A2006:undefined symbol : server_init_route_oom
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(142) : error A2022:instruction operands must be the same size
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(144) : error A2006:undefined symbol : HeapAlloc
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(146) : error A2006:undefined symbol : server_init_conn_oom
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(152) : error A2006:undefined symbol : HeapAlloc
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(154) : error A2006:undefined symbol : server_init_log_oom
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(162) : error A2006:undefined symbol : CreateMutex
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(170) : error A2006:undefined symbol : server_init_done
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(174) : error A2006:undefined symbol : HeapFree
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(178) : error A2006:undefined symbol : HeapFree
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(182) : error A2006:undefined symbol : HeapFree
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(188) : error A2206:missing operator in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(208) : error A2006:undefined symbol : server_shutdown_invalid
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(212) : error A2006:undefined symbol : WaitForSingleObject
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(215) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(216) : error A2006:undefined symbol : server_shutdown_no_socket
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(219) : error A2006:undefined symbol : CloseHandle
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(224) : error A2006:undefined symbol : HeapFree
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(227) : error A2006:undefined symbol : HeapFree
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(230) : error A2006:undefined symbol : HeapFree
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(232) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(233) : error A2006:undefined symbol : server_shutdown_no_tls
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(236) : error A2006:undefined symbol : HeapFree
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(241) : error A2006:undefined symbol : ReleaseMutex
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(244) : error A2006:undefined symbol : CloseHandle
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(248) : error A2006:undefined symbol : HeapFree
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(251) : error A2006:undefined symbol : server_shutdown_done
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(280) : error A2006:undefined symbol : WaitForSingleObject
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(288) : error A2006:undefined symbol : ReleaseMutex
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(313) : error A2006:undefined symbol : WaitForSingleObject
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(316) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(321) : error A2006:undefined symbol : ReleaseMutex
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(346) : error A2006:undefined symbol : WaitForSingleObject
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(349) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(355) : error A2006:undefined symbol : ReleaseMutex
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(377) : error A2206:missing operator in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(384) : error A2006:undefined symbol : WaitForSingleObject
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(389) : error A2006:undefined symbol : register_route_full
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(393) : error A2006:undefined symbol : HeapAlloc
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(395) : error A2006:undefined symbol : register_route_oom
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(401) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(405) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(409) : error A2006:undefined symbol : ReleaseMutex
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(412) : error A2006:undefined symbol : register_route_done
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(416) : error A2006:undefined symbol : ReleaseMutex
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(418) : error A2006:undefined symbol : register_route_done
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(422) : error A2006:undefined symbol : ReleaseMutex
D:\rawrxd\history\runoff\part_0002\c__Users_HiH8e_Downloads_RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(426) : error A2206:missing operator in expression
