 Assembling: D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(18) : error A2008:syntax error : [
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(19) : error A2008:syntax error : [
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(25) : error A2008:syntax error : .data
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(33) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(35) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(36) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(37) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(38) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(39) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(40) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(41) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(42) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(43) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(44) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(45) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(46) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(47) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(48) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(49) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(52) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(53) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(54) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CHUNK_002_Lines_501-1000.asm(55) : error A2034:must be in segment block
