 Assembling: D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(13) : error A2008:syntax error : section
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(15) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(16) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(17) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(18) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(21) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(22) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(25) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(26) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(27) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(31) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(32) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(33) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(34) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(35) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(36) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(37) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(38) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(39) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(42) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(45) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(46) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(47) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(48) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(51) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(52) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(53) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(54) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(55) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(58) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(61) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(64) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(65) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(66) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(69) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(70) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(71) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(74) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(77) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(78) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(79) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(82) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(83) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(86) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(89) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(90) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(91) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(92) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(93) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(94) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(95) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(98) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(99) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(100) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(101) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(104) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(105) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(106) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(107) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(108) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(111) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(112) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(113) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(114) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(115) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(118) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(119) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(120) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(121) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(122) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(123) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(124) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(125) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(126) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(127) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(130) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(131) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(132) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(133) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(134) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(135) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(137) : error A2008:syntax error : section
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(139) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(140) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(143) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(144) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(147) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(148) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(151) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(152) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(155) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(156) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(157) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(160) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(161) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(162) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(163) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(166) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(167) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(170) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0003\c__Users_HiH8e_OneDrive_Desktop_Mirai-Source-Code-master_IDEre2_CONVERSION_1-500.asm(171) : fatal error A1012:error count exceeds 100; stopping assembly
