 Assembling: D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(66) : error A2008:syntax error : timestamp
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(173) : error A2006:undefined symbol : LMEM_LPTR
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(174) : error A2006:undefined symbol : LocalAlloc
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(184) : error A2006:undefined symbol : LMEM_LPTR
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(185) : error A2006:undefined symbol : LocalAlloc
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(199) : error A2006:undefined symbol : OutputDebugStringA
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(206) : error A2006:undefined symbol : OutputDebugStringA
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(212) : error A2006:undefined symbol : OutputDebugStringA
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(219) : error A2006:undefined symbol : LocalFree
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(222) : error A2006:undefined symbol : OutputDebugStringA
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(261) : error A2006:undefined symbol : LocalFree
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(268) : error A2006:undefined symbol : LocalFree
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(279) : error A2006:undefined symbol : OutputDebugStringA
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(317) : error A2022:instruction operands must be the same size
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(332) : error A2006:undefined symbol : InterlockedIncrement64
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(366) : error A2006:undefined symbol : InterlockedIncrement64
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(374) : error A2006:undefined symbol : InterlockedIncrement64
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(380) : error A2006:undefined symbol : OutputDebugStringA
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(387) : error A2006:undefined symbol : OutputDebugStringA
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(395) : error A2006:undefined symbol : OutputDebugStringA
D:\rawrxd\history\runoff\part_0016\d__RawrXD-production-lazy-init_masm_centralized_error_handler.asm(433) : error A2006:undefined symbol : LMEM_LPTR
