 Assembling: D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(178) : error A2070:invalid instruction operands
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(183) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(187) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(191) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(195) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(198) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(232) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(249) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(264) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(267) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(425) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(431) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(436) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(121) : error A2206:missing operator in expression
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(130) : error A2006:undefined symbol : server_init_oom
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(137) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(138) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(139) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(140) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(141) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(142) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(148) : error A2006:undefined symbol : server_init_route_oom
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(153) : error A2022:instruction operands must be the same size
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(157) : error A2006:undefined symbol : server_init_conn_oom
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(165) : error A2006:undefined symbol : server_init_log_oom
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(181) : error A2006:undefined symbol : server_init_done
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(199) : error A2206:missing operator in expression
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(219) : error A2006:undefined symbol : server_shutdown_invalid
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(226) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(227) : error A2006:undefined symbol : server_shutdown_no_socket
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(243) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(244) : error A2006:undefined symbol : server_shutdown_no_tls
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(262) : error A2006:undefined symbol : server_shutdown_done
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(327) : error A2009:syntax error in expression
D:\rawrxd\history\runoff\part_0017\d__RawrXD-production-lazy-init_src_masm_final-ide_server_layer.asm(360) : error A2009:syntax error in expression
