 Assembling: D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(1) : error A2044:invalid character in file
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(12) : error A2008:syntax error : WIN64
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(46) : error A2064:structure alignment must be 1, 2, 4, 8, or 16
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(59) : error A2008:syntax error : length
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(72) : error A2064:structure alignment must be 1, 2, 4, 8, or 16
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(101) : error A2008:syntax error : offset
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(102) : error A2008:syntax error : length
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(116) : error A2064:structure alignment must be 1, 2, 4, 8, or 16
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(137) : error A2064:structure alignment must be 1, 2, 4, 8, or 16
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(175) : error A2189:invalid combination with segment alignment : 64
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(591) : error A2070:invalid instruction operands
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(1952) : error A2189:invalid combination with segment alignment : 64
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(189) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(196) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(200) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(202) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(206) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(210) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(213) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(233) : error A2022:instruction operands must be the same size
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(238) : error A2006:undefined symbol : QUANTUM_BUFFER
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(264) : error A2006:undefined symbol : vblank_sync
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(282) : error A2006:undefined symbol : ApplyGlitchEffect
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(287) : error A2006:undefined symbol : RenderParticles
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(291) : error A2006:undefined symbol : RenderScanlines
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(327) : error A2006:undefined symbol : SSE4Blur
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(330) : error A2006:undefined symbol : AVX512Blur
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(350) : error A2006:undefined symbol : LINE
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(406) : error A2006:undefined symbol : g_NextBranchId
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(407) : error A2006:undefined symbol : g_NextBranchId
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(411) : error A2006:undefined symbol : g_CurrentBranchId
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(421) : error A2006:undefined symbol : g_CurrentBuffer
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(426) : error A2006:undefined symbol : g_CurrentBranchId
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(456) : error A2006:undefined symbol : g_CurrentBranchId
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(460) : error A2006:undefined symbol : g_BranchListHead
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(472) : error A2006:undefined symbol : g_CurrentBuffer
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(483) : error A2006:undefined symbol : g_MergeViewActive
D:\rawrxd\history\runoff\part_0011\d__RawrXD_src_agentic_monaco_NEON_MONACO_CORE.ASM(484) : error A2006:undefined symbol : g_MergeSourcePtr
