 Assembling: D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(7) : error A2008:syntax error : section
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(9) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(10) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(11) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(14) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(15) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(16) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(19) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(20) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(21) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(22) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(25) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(26) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(27) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(29) : error A2008:syntax error : section
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(40) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(41) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(42) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(43) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(44) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(45) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(47) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(48) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(49) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(52) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(53) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(54) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(56) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(59) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(60) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(61) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(62) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(64) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(70) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(71) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(72) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(73) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(79) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(80) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(85) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(87) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(88) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(90) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(91) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(93) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(94) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(95) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(97) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0008\d__lazy init ide_src_ggml_masm_ggml_tensor_ops.asm(98) : error A2034:must be in segment block
