 Assembling: D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(14) : error A2008:syntax error : global
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(15) : error A2008:syntax error : global
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(16) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(17) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(18) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(19) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(20) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(22) : error A2008:syntax error : section
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(23) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(24) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(25) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(27) : error A2109:only white space or comment can follow backslash
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(29) : error A2046:missing single or double quotation mark in string
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(30) : error A2109:only white space or comment can follow backslash
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(33) : error A2008:syntax error : define
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(35) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(36) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(37) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(38) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(39) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(40) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(41) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(42) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(43) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(44) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(45) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(47) : error A2008:syntax error : section
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(48) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(49) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(50) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(52) : error A2008:syntax error : section
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(64) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(65) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(66) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(67) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(68) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(69) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(72) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(73) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(76) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(77) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(80) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(81) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(82) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(83) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(84) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(85) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(88) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(89) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(90) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(91) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(92) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(94) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(95) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(98) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(99) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(101) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(102) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(119) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(120) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(122) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(123) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(124) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(125) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(126) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(127) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(128) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(129) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(130) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(131) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(132) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(133) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(134) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(135) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(136) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(137) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(138) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(139) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(140) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(141) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(142) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(143) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(144) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(146) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(147) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(148) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(149) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(150) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(152) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(153) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(156) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(157) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(161) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(162) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(164) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(165) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(166) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(167) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(168) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(170) : error A2008:syntax error : .
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_ollama_wrapper.asm(172) : fatal error A1012:error count exceeds 100; stopping assembly
