 Assembling: D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(6) : error A2008:syntax error : bits
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(7) : error A2008:syntax error : default
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(12) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(13) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(14) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(15) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(16) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(17) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(18) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(23) : error A2008:syntax error : section
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(25) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(26) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(27) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(28) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(29) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(30) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(33) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(34) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(35) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(36) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(40) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(41) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(42) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(45) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(46) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(47) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(50) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(51) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(52) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(55) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(56) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(57) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(60) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(61) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(62) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(65) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(66) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(67) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(70) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(71) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(72) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(75) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(76) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(77) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(78) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(79) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(82) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(83) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(84) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(85) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(86) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(87) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(90) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(91) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(93) : error A2008:syntax error : section
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(95) : error A2008:syntax error : text_buffer
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(98) : error A2008:syntax error : line_starts
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(99) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(102) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(103) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(104) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(105) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(108) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(109) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(110) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(113) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(114) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(115) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(118) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(119) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(120) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(121) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(124) : error A2008:syntax error : undo_buffer
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(125) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(128) : error A2008:syntax error : search_term
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(129) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(130) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(132) : error A2008:syntax error : section
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(137) : error A2008:syntax error : global
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(138) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(139) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(140) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(141) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(142) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(145) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(146) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(147) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(148) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(151) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(152) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(153) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(156) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(157) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(158) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(159) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(160) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(161) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(164) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0009\d__professional-nasm-ide_src_text_editor_engine.asm(165) : error A2034:must be in segment block
