 Assembling: D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(4) : error A2008:syntax error : BITS
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(5) : error A2008:syntax error : DEFAULT
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(7) : error A2008:syntax error : section
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(8) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(9) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(11) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(12) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(13) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(14) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(15) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(16) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(17) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(19) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(20) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(22) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(23) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(25) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(26) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(28) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(29) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(31) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(32) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(34) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(35) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(37) : error A2008:syntax error : section
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(38) : error A2008:syntax error : global
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(40) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(42) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(43) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(44) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(45) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(46) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(49) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(50) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(51) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(52) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(53) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(56) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(59) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(62) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(65) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(68) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(71) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(72) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(73) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(74) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(75) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(78) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(79) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(80) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(83) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(84) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(85) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(88) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(89) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(90) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(91) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(92) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(95) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(96) : error A2008:syntax error : .
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(97) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(98) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(100) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(101) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(104) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(105) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(106) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(109) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(110) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(111) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(112) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(113) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(116) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(117) : error A2008:syntax error : .
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(118) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(119) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(121) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(122) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(125) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(126) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(127) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(130) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(131) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(132) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(133) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(134) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(137) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(138) : error A2008:syntax error : .
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\demo.asm(139) : error A2034:must be in segment block
