 Assembling: D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(5) : error A2008:syntax error : section
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(6) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(7) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(10) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(11) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(12) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(14) : error A2008:syntax error : section
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(15) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(16) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(17) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(18) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(19) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(20) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(21) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(22) : error A2008:syntax error : in directive
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(24) : error A2008:syntax error : global
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(25) : error A2008:syntax error : global
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(26) : error A2008:syntax error : global
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(29) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(30) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(31) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(34) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(36) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(37) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(39) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(40) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(41) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(49) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(52) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(55) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(58) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(61) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(63) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(64) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_itsmehrawrxd-master_ada_compiler_fixed.asm(66) : error A2034:must be in segment block
