 Assembling: D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(21) : error A2008:syntax error : section
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(22) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(25) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(26) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(27) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(28) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(29) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(30) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(31) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(283) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(284) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(285) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(286) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(287) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(288) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(289) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(290) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(291) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(292) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(293) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(294) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(295) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(297) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(298) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(299) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(300) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(301) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(302) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(303) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(304) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(305) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(306) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(309) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(310) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(311) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(312) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(313) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(314) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(315) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(316) : error A2034:must be in segment block
D:\rawrxd\history\runoff\part_0024\e__RawrXD_src_asm_solo_standalone_compiler.asm(317) : error A2034:must be in segment block
