 Assembling: D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(5) : error A2008:syntax error : section
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(27) : error A2008:syntax error : section
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(28) : error A2008:syntax error : global
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(29) : error A2008:syntax error : global
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(30) : error A2008:syntax error : global
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(31) : error A2008:syntax error : global
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(32) : error A2008:syntax error : global
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(33) : error A2008:syntax error : global
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(38) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(39) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(40) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(41) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(42) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(43) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(46) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(47) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(50) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(51) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(54) : error A2008:syntax error : .
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(56) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(57) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(58) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(61) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(62) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(63) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\Eon-ASM\compilers\eon_pratt_parser.asm(64) : error A2034:must be in segment block
