 Assembling: D:\rawrxd\history\-2b4f82f3\iOhj.asm
D:\rawrxd\history\-2b4f82f3\iOhj.asm(6) : error A2008:syntax error : BITS
D:\rawrxd\history\-2b4f82f3\iOhj.asm(7) : error A2008:syntax error : DEFAULT
D:\rawrxd\history\-2b4f82f3\iOhj.asm(13) : error A2008:syntax error : section
D:\rawrxd\history\-2b4f82f3\iOhj.asm(15) : error A2008:syntax error : global
D:\rawrxd\history\-2b4f82f3\iOhj.asm(16) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(17) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(18) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(19) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(20) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(21) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(22) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(23) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(24) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(25) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(26) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(27) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(29) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(35) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\iOhj.asm(36) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\iOhj.asm(37) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\iOhj.asm(38) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\iOhj.asm(39) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\iOhj.asm(40) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\iOhj.asm(41) : error A2008:syntax error : in directive
D:\rawrxd\history\-2b4f82f3\iOhj.asm(43) : error A2008:syntax error : section
D:\rawrxd\history\-2b4f82f3\iOhj.asm(49) : error A2008:syntax error : global
D:\rawrxd\history\-2b4f82f3\iOhj.asm(50) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(51) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(52) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(55) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(58) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(61) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(63) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(64) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(77) : error A2008:syntax error : global
D:\rawrxd\history\-2b4f82f3\iOhj.asm(78) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(79) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(80) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(81) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(84) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(85) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(88) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(89) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(92) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(93) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(94) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(95) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(98) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(99) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(100) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(101) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(104) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(106) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(108) : error A2008:syntax error : .
D:\rawrxd\history\-2b4f82f3\iOhj.asm(109) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(111) : error A2008:syntax error : .
D:\rawrxd\history\-2b4f82f3\iOhj.asm(112) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(113) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(114) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(120) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(121) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(123) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(124) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(126) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(128) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(129) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(131) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(132) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(134) : error A2034:must be in segment block
D:\rawrxd\history\-2b4f82f3\iOhj.asm(135) : error A2034:must be in segment block
