 Assembling: D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(5) : error A2008:syntax error : section
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(6) : error A2008:syntax error : global
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(7) : error A2008:syntax error : ,
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(7) : error A2008:syntax error : in directive
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(9) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(10) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(11) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(12) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(13) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(14) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(17) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(18) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(19) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(20) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(23) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(26) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(29) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(31) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(32) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(37) : error A2008:syntax error : -
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(38) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(39) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(40) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(43) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(44) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(45) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(47) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(48) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(50) : error A2008:syntax error : -
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(51) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(52) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(53) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(56) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(57) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(58) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(60) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(61) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(63) : error A2008:syntax error : -
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(64) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(65) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(66) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(69) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(70) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(71) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(73) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(74) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(77) : error A2008:syntax error : -
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(78) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(79) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(80) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(83) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\n0mn0m_meta_engine.asm(84) : error A2034:must be in segment block
