 Assembling: D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(5) : error A2008:syntax error : section
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(6) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(7) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(8) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(9) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(10) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(11) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(12) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(15) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(16) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(17) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(18) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(21) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(22) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(25) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(28) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(29) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(31) : error A2008:syntax error : section
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(34) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(35) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(36) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(39) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(42) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(45) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(48) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(51) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\powershell_compiler_from_scratch.asm(54) : error A2034:must be in segment block
