 Assembling: D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(4) : error A2008:syntax error : BITS
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(5) : error A2008:syntax error : DEFAULT
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(7) : error A2008:syntax error : section
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(9) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(10) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(11) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(12) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(13) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(14) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(15) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(16) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(17) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(18) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(19) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(20) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(21) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(22) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(23) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(24) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(25) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(26) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(27) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(28) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(31) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(32) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(33) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(34) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(35) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(36) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(37) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(38) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(39) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(40) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(41) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(42) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(43) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(44) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(45) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(46) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(49) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(50) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(51) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(52) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(53) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(54) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\project_templates.asm(55) : error A2034:must be in segment block
