 Assembling: D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(5) : error A2008:syntax error : section
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(6) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(7) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(10) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(11) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(12) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(15) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(16) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(17) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(28) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(29) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(30) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(31) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(32) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(33) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(34) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(35) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(36) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(37) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(38) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(39) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(40) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(41) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(57) : error A2008:syntax error : section
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(58) : error A2008:syntax error : global
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(59) : error A2008:syntax error : global
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(60) : error A2008:syntax error : global
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(63) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(64) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(65) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(68) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(69) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(70) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(72) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(73) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(75) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(76) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(77) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(85) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(88) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(91) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(94) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(97) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(99) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(100) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(102) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(103) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(104) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(107) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(109) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(110) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(113) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(114) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(115) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(118) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(119) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(120) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(121) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(122) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(124) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(125) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(126) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(129) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(132) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(133) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(134) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(135) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(136) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(137) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(138) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(139) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(142) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(143) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(144) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(145) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(146) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(147) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(148) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(149) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(150) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(151) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(153) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(155) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(156) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(157) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(158) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(159) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(160) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(161) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(162) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(163) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(164) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(165) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(166) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(167) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(168) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(169) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(170) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(171) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(172) : error A2034:must be in segment block
D:\rawrxd\itsmehrawrxd-master\rust_compiler_from_scratch.asm(173) : fatal error A1012:error count exceeds 100; stopping assembly
