 Assembling: D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(5) : error A2008:syntax error : section
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(6) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(7) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(8) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(9) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(10) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(11) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(12) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(15) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(16) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(17) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(18) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(21) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(22) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(25) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(28) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(29) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(31) : error A2008:syntax error : section
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(34) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(35) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(36) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(39) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(42) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(45) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(48) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(51) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(54) : error A2034:must be in segment block
D:\rawrxd\.archive\reconstructed\RawrXD\itsmehrawrxd-master\powershell\compiler\from\scratch.asm(56) : error A2034:must be in segment block
