 Assembling: D:\rawrxd\src\asm\simd_ndjson_parser.asm
D:\rawrxd\src\asm\simd_ndjson_parser.asm(19) : error A2189:invalid combination with segment alignment : 32
D:\rawrxd\src\asm\simd_ndjson_parser.asm(63) : error A2070:invalid instruction operands
D:\rawrxd\src\asm\simd_ndjson_parser.asm(67) : error A2008:syntax error : .
D:\rawrxd\src\asm\simd_ndjson_parser.asm(73) : error A2070:invalid instruction operands
D:\rawrxd\src\asm\simd_ndjson_parser.asm(85) : error A2008:syntax error : .
D:\rawrxd\src\asm\simd_ndjson_parser.asm(93) : error A2008:syntax error : .
D:\rawrxd\src\asm\simd_ndjson_parser.asm(116) : error A2008:syntax error : .
D:\rawrxd\src\asm\simd_ndjson_parser.asm(142) : error A2008:syntax error : .
D:\rawrxd\src\asm\simd_ndjson_parser.asm(148) : error A2008:syntax error : .
D:\rawrxd\src\asm\simd_ndjson_parser.asm(154) : error A2008:syntax error : .
D:\rawrxd\src\asm\simd_ndjson_parser.asm(160) : error A2008:syntax error : .
D:\rawrxd\src\asm\simd_ndjson_parser.asm(166) : error A2008:syntax error : .
D:\rawrxd\src\asm\simd_ndjson_parser.asm(172) : error A2008:syntax error : .
D:\rawrxd\src\asm\simd_ndjson_parser.asm(181) : error A2008:syntax error : .
D:\rawrxd\src\asm\simd_ndjson_parser.asm(190) : error A2008:syntax error : .
D:\rawrxd\src\asm\simd_ndjson_parser.asm(199) : error A2008:syntax error : .
D:\rawrxd\src\asm\simd_ndjson_parser.asm(225) : error A2070:invalid instruction operands
D:\rawrxd\src\asm\simd_ndjson_parser.asm(229) : error A2008:syntax error : .
D:\rawrxd\src\asm\simd_ndjson_parser.asm(241) : error A2070:invalid instruction operands
D:\rawrxd\src\asm\simd_ndjson_parser.asm(250) : error A2008:syntax error : .
D:\rawrxd\src\asm\simd_ndjson_parser.asm(259) : error A2008:syntax error : .
D:\rawrxd\src\asm\simd_ndjson_parser.asm(276) : error A2008:syntax error : .
D:\rawrxd\src\asm\simd_ndjson_parser.asm(280) : error A2008:syntax error : .
D:\rawrxd\src\asm\simd_ndjson_parser.asm(286) : error A2008:syntax error : .
