 Assembling: D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(4) : error A2008:syntax error : BITS
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(5) : error A2008:syntax error : DEFAULT
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(8) : error A2008:syntax error : define
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(9) : error A2008:syntax error : define
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(10) : error A2008:syntax error : define
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(11) : error A2008:syntax error : define
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(12) : error A2008:syntax error : define
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(13) : error A2008:syntax error : define
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(14) : error A2008:syntax error : define
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(16) : error A2008:syntax error : section
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(18) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(19) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(22) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(23) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(24) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(25) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(26) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(27) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(28) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(29) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(32) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(33) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(34) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(35) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(36) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(37) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(38) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(39) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(40) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(43) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(44) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(45) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(46) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(47) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(48) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(49) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(50) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(51) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(52) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(55) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(56) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(57) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(58) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(59) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(60) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(61) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(64) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(65) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(66) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(67) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(68) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(69) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(70) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(73) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(74) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(75) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(76) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(77) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(78) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(79) : error A2034:must be in segment block
D:\rawrxd\OrganizedPiProject\misc\Desktop\secure-ide-asm\typescript_ide.asm(80) : error A2034:must be in segment block
