"source","target","target_type","exclude_from_all","target_family","production","win32ide","deep2","test","benchmark","conditional","duplicate_family","stub_risk","line"
"/cutils.c","quickjs_static","library","false","supporting production","true","false","false","false","false","true","","false","5212"
"/dtoa.c","quickjs_static","library","false","supporting production","true","false","false","false","false","true","","false","5212"
"/libbf.c","quickjs_static","library","false","supporting production","true","false","false","false","false","true","","false","5212"
"/libregexp.c","quickjs_static","library","false","supporting production","true","false","false","false","false","true","","false","5212"
"/libunicode.c","quickjs_static","library","false","supporting production","true","false","false","false","false","true","","false","5212"
"/OmegaPowerShellBridge.cpp","Omega1Engine","library","false","supporting production","true","false","false","false","false","false","omegapowershellbridge.cpp","false","1889"
"/OmegaPowerShellBridge.h","Omega1Engine","library","false","supporting production","true","false","false","false","false","false","","false","1889"
"/quickjs-libc.c","quickjs_static","library","false","supporting production","true","false","false","false","false","true","","false","5212"
"/quickjs.c","quickjs_static","library","false","supporting production","true","false","false","false","false","true","","false","5212"
"/src/core/missing_handler_stubs.cpp","ssot_stub_lane_objs","library","false","supporting production","true","false","false","false","false","true","missing_handler_stubs.cpp","true","5589"
"/src/core/ssot_missing_handlers_provider.cpp","ssot_stub_lane_objs","library","false","supporting production","true","false","false","false","false","true","","false","5589"
"/zlib_runtime_loader.cpp","RawrXD_Compression","library","false","supporting production","true","false","false","false","false","false","","false","1919"
"Ship/RawrXD_AgentCoordinator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"Ship/RawrXD_AutonomousAgenticPipeline.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"Ship/RawrXD_AutonomousAgenticPipeline.cpp","test_autonomous_pipeline","executable","false","test","false","false","false","true","false","true","","false","6037"
"src/adapter/RawrXDEngineAdapter.cpp","test_generation","executable","false","test","false","false","false","true","false","false","","false","7488"
"src/agent_explainability.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent_history.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent_policy.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent/agent_self_healing_orchestrator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent/agent_self_repair.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent/agentic_failure_detector.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent/agentic_hotpatch_orchestrator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent/agentic_puppeteer.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent/autonomous_subagent.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent/DiskRecoveryAgent.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","diskrecoveryagent.cpp","false","5079"
"src/agent/eval_framework.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent/llm_http_client.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent/local_reasoning_engine.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent/meta_planner.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent/model_invoker.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent/planner.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent/quantum_agent_orchestrator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent/quantum_autonomous_todo_system.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent/quantum_dynamic_time_manager_impl.cpp","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","false","","false","2376"
"src/agent/quantum_dynamic_time_manager.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent/quantum_missing_impl.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","true","5079"
"src/agent/quantum_multi_model_agent_cycling.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent/quantum_production_orchestrator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agent/telemetry_collector.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic_agent_coordinator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic_engine.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic_loop_state.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic_observability.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/AdvancedAgentCoordinator.cpp","RawrEngine","executable","false","shipped/product","true","false","false","false","false","false","","false","1967"
"src/agentic/AdvancedAgentCoordinator.cpp","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","false","","false","2376"
"src/agentic/AdvancedAgentCoordinator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/agent_tool_quantize.cpp","RawrXD_NanoQuant","library","false","supporting production","true","false","false","false","false","true","","false","3220"
"src/agentic/agent_workflow_orchestrator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/agentic_audit_sink.cpp","agentic_orchestrator_smoke_test","executable","true","test","false","false","false","true","false","false","","false","6692"
"src/agentic/agentic_audit_sink.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/agentic_composer_ux.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/agentic_executor.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/agentic_orchestrator_integration.cpp","agentic_orchestrator_smoke_test","executable","true","test","false","false","false","true","false","false","","false","6692"
"src/agentic/agentic_orchestrator_integration.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/agentic_orchestrator_smoke_test.cpp","agentic_orchestrator_smoke_test","executable","true","test","false","false","false","true","false","false","","false","6692"
"src/agentic/agentic_planning_orchestrator.cpp","agentic_orchestrator_smoke_test","executable","true","test","false","false","false","true","false","false","","false","6692"
"src/agentic/agentic_planning_orchestrator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/agentic_transaction.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/AgenticDeepThinkingEngine.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/AgenticNavigator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/AgentOllamaClient.cpp","RawrEngine","executable","false","shipped/product","true","false","false","false","false","true","","false","2050"
"src/agentic/AgentOllamaClient.cpp","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","false","","false","2376"
"src/agentic/AgentOllamaClient.cpp","RawrXD-AutoFixCLI","executable","false","supporting production","true","false","false","false","false","true","","false","6051"
"src/agentic/AgentOllamaClient.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/AgentOrchestrator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/AgentToolHandlers.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/autonomous_background_daemon.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/autonomous_communicator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/autonomous_recovery_orchestrator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/autonomous_verification_loop.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/BoundedAgentLoop.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/change_impact_analyzer.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/cognitive/autonomous_orchestrator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/cognitive/cognitive_types.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/cognitive/dynamic_planner.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/cognitive/enhanced_blackboard.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/cognitive/mission_director.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/cognitive/reflection_agent.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/DeterministicReplayEngine.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/DiffEngine.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/DiskRecoveryAgent.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","diskrecoveryagent.cpp","false","5079"
"src/agentic/DiskRecoveryToolHandler.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/ErrorRecoveryManager.cpp","RawrEngine","executable","false","shipped/product","true","false","false","false","false","false","","false","1967"
"src/agentic/ErrorRecoveryManager.cpp","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","false","","false","2376"
"src/agentic/ErrorRecoveryManager.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/failure_intelligence_orchestrator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/FIMPromptBuilder.cpp","rawrxd","executable","true","excluded/experimental","false","false","false","false","false","true","","false","222"
"src/agentic/FIMPromptBuilder.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/hotpatch/Engine.cpp","RawrEngine","executable","false","shipped/product","true","false","false","false","false","false","","false","1967"
"src/agentic/hotpatch/Engine.cpp","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","false","","false","2376"
"src/agentic/hotpatch/Engine.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/observability/Logger.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","logger.cpp","false","5079"
"src/agentic/OllamaProvider.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/OrchestratorBridge.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/RawrXD_AgentLoop.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/RobustOllamaParser.cpp","rawrxd","executable","true","excluded/experimental","false","false","false","false","false","true","","false","222"
"src/agentic/RobustOllamaParser.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/RobustOllamaParser.cpp","SwarmSmokeTest","executable","true","test","false","false","false","true","false","true","","false","6649"
"src/agentic/SubAgentManager.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/agentic/SubAgentManager.cpp","SwarmSmokeTest","executable","true","test","false","false","false","true","false","true","","false","6649"
"src/agentic/ToolRegistry.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","toolregistry.cpp","false","5079"
"src/ai_completion_real.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/ai_model_caller.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/ai/multi_file_reasoning.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/ai/repo_refactor_engine.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/ai/semantic_code_search.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/ai/symbol_graph_indexer.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/ai/workspace_embeddings.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/app/cli_entrypoint.cpp","RawrXD-AutoFixCLI","executable","false","supporting production","true","false","false","false","false","true","","false","6051"
"src/asm/byte_search.asm","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","true","","false","2263"
"src/asm/byte_search.asm","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/asm/diff_engine.asm","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/asm/FlashAttention_AVX512.asm","InferenceEngine","library","false","supporting production","true","false","false","false","false","true","","false","3494"
"src/asm/ghost_text_ranker.asm","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/asm/inference_core.asm","InferenceEngine","library","false","supporting production","true","false","false","false","false","true","","false","3494"
"src/asm/inference_kernels.asm","InferenceEngine","library","false","supporting production","true","false","false","false","false","true","","false","3494"
"src/asm/memory_patch.asm","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","true","","false","2263"
"src/asm/memory_patch.asm","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/asm/quant_avx2.asm","InferenceEngine","library","false","supporting production","true","false","false","false","false","true","","false","3494"
"src/asm/rawr_cpu_features.asm","InferenceEngine","library","false","supporting production","true","false","false","false","false","true","","false","3494"
"src/asm/rawr_cpu_features.asm","rawrxd","executable","true","excluded/experimental","false","false","false","false","false","true","","false","222"
"src/asm/rawr_globals.asm","InferenceEngine","library","false","supporting production","true","false","false","false","false","true","","false","3494"
"src/asm/RawrXD_Disasm_Kernel.asm","rawrxd","executable","true","excluded/experimental","false","false","false","false","false","true","","false","222"
"src/asm/RawrXD_DynamicPromptEngine.asm","RawrXD_DynamicPromptEngine","library","false","supporting production","true","false","false","false","false","true","","false","4528"
"src/asm/RawrXD_IPC_Dispatcher.asm","rawrxd","executable","true","excluded/experimental","false","false","false","false","false","true","","false","222"
"src/asm/RawrXD_KQuant_Dequant.asm","InferenceEngine","library","false","supporting production","true","false","false","false","false","true","","false","3494"
"src/asm/RawrXD_KQuant_Kernel.asm","InferenceEngine","library","false","supporting production","true","false","false","false","false","true","","false","3494"
"src/asm/RawrXD_MultiWindow_Kernel.asm","RawrXD_MultiWindow_Kernel","library","false","supporting production","true","false","false","false","false","true","","false","4486"
"src/asm/RawrXD_PE_Exporter.asm","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","false","","false","2376"
"src/asm/RawrXD_PE_Exporter.asm","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/asm/RawrXD_PE_Importer.asm","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/asm/RawrXD_Telemetry_Kernel.asm","InferenceEngine","library","false","supporting production","true","false","false","false","false","true","","false","3494"
"src/auth/QuantumAuthUI.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/auth/rbac_engine.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/autonomous_feature_engine.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/autonomous_intelligence_orchestrator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/BackendOrchestrator.cpp","BackendOrchestratorShardSmoke","executable","true","test","false","false","false","true","false","false","","false","6671"
"src/BackendOrchestrator.cpp","RawrEngine","executable","false","shipped/product","true","false","false","false","false","false","","false","1967"
"src/BackendOrchestrator.cpp","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","false","","false","2376"
"src/BackendOrchestrator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/benchmark_menu_widget.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/benchmark_runner.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/benchmark/Fix4_FlashAttention_Benchmark.cpp","Fix4_FlashAttention_Benchmark","executable","true","benchmark","false","false","false","false","true","true","","false","6196"
"src/benchmark/Fix5_FusedQuantized_Benchmark.cpp","Fix5_FusedQuantized_Benchmark","executable","true","benchmark","false","false","false","false","true","true","","false","6223"
"src/benchmark/tree_attention_aligned.cpp","tree_attention_aligned","executable","true","excluded/experimental","false","false","false","false","false","true","","false","6350"
"src/benchmark/tree_attention_avx512_intrinsics.cpp","tree_attention_bench_simple","executable","true","benchmark","false","false","false","false","true","true","","false","6305"
"src/benchmark/tree_attention_bench_simple.cpp","tree_attention_bench_simple","executable","true","benchmark","false","false","false","false","true","true","","false","6305"
"src/benchmark/tree_attention_fused_sparse.cpp","tree_attention_fused_sparse","executable","true","excluded/experimental","false","false","false","false","false","true","","false","6438"
"src/benchmark/tree_attention_masm_val038_wrapper.cpp","tree_attention_masm_val038","executable","true","excluded/experimental","false","false","false","false","false","true","","false","6483"
"src/benchmark/tree_attention_masm_val038.asm","tree_attention_masm_val038","executable","true","excluded/experimental","false","false","false","false","false","true","","false","6483"
"src/benchmark/tree_attention_profiled.cpp","tree_attention_profiled","executable","true","excluded/experimental","false","false","false","false","false","true","","false","6328"
"src/benchmark/tree_attention_sparse.cpp","tree_attention_sparse","executable","true","excluded/experimental","false","false","false","false","false","true","","false","6416"
"src/benchmark/tree_attention_tiled.cpp","tree_attention_tiled","executable","true","excluded/experimental","false","false","false","false","false","true","","false","6372"
"src/benchmark/tree_attention_tree_specialized.cpp","tree_attention_tree_specialized","executable","true","excluded/experimental","false","false","false","false","false","true","","false","6460"
"src/benchmark/tree_attention_vectorized.cpp","tree_attention_vectorized","executable","true","excluded/experimental","false","false","false","false","false","true","","false","6394"
