"source","referenced_in_root_cmake","targets","win32ide","status"
"src/deep2/AntiPatcher.cpp","true","Deep2_Production_Bench;RawrXD-Win32IDE","true","built"
"src/deep2/BottleTTL.cpp","true","Deep2_Production_Bench;RawrXD-Win32IDE","true","built"
"src/deep2/certification/Deep2_Cert_Main.cpp","false","","false","cmake-orphan"
"src/deep2/CompressedKVCache.cpp","true","Deep2_Production_Bench","false","built"
"src/deep2/CPUFrequency.cpp","true","Deep2_Production_Bench;RawrXD-Win32IDE","true","built"
"src/deep2/deep2_benchmark_main.cpp","false","","false","cmake-orphan"
"src/deep2/deep2_end_to_end_bench.cpp","true","Deep2_Production_Bench","false","built"
"src/deep2/Deep2_Gateway_Integration_Test.cpp","false","","false","cmake-orphan"
"src/deep2/Deep2_Gateway_Runtime_Certification.cpp","false","","false","cmake-orphan"
"src/deep2/deep2_http_gateway.cpp","false","","false","cmake-orphan"
"src/deep2/deep2_link_stubs.cpp","false","","false","cmake-orphan"
"src/deep2/deep2_moe_bench_standalone.cpp","false","","false","cmake-orphan"
"src/deep2/Deep2_Phase0_ProductionTest.cpp","false","","false","cmake-orphan"
"src/deep2/Deep2_Phase0_SmokeTest.cpp","false","","false","cmake-orphan"
"src/deep2/Deep2_Phase1_Smoketest.cpp","false","","false","cmake-orphan"
"src/deep2/Deep2_Phase2_MultiGPU_Smoketest.cpp","false","","false","cmake-orphan"
"src/deep2/Deep2_Phase3_Smoketest.cpp","false","","false","cmake-orphan"
"src/deep2/deep2_server_main.cpp","false","","false","cmake-orphan"
"src/deep2/Deep2APIServer_Complete.cpp","false","","false","cmake-orphan"
"src/deep2/Deep2APIServer.cpp","false","","false","cmake-orphan"
"src/deep2/Deep2Benchmark.cpp","false","","false","cmake-orphan"
"src/deep2/Deep2Bridge.cpp","true","test_generation","false","built"
"src/deep2/Deep2Discovery.cpp","false","","false","cmake-orphan"
"src/deep2/Deep2Engine_FullSmoketest.cpp","false","","false","cmake-orphan"
"src/deep2/Deep2Engine_KernelTest.cpp","false","","false","cmake-orphan"
"src/deep2/Deep2Engine_SmokeTest_Minimal.cpp","false","","false","cmake-orphan"
"src/deep2/Deep2Engine_SmokeTest.cpp","false","","false","cmake-orphan"
