rank index deep2 llama abs_err ulp
0 1264 1.843456179e-01 1.843457669e-01 1.490116119e-07 10
1 1520 2.266145498e-01 2.266146839e-01 1.341104507e-07 9
2 1136 1.209964678e-01 1.209963858e-01 8.195638657e-08 11
3 1071 -1.315350085e-02 -1.315343380e-02 6.705522537e-08 72
4 1455 -2.846764922e-01 -2.846765518e-01 5.960464478e-08 2
5 239 -9.475411475e-02 -9.475405514e-02 5.960464478e-08 8
6 422 1.713047177e-01 1.713046581e-01 5.960464478e-08 4
7 1309 1.831781566e-01 1.831780970e-01 5.960464478e-08 4
8 1327 -2.582054138e-01 -2.582054734e-01 5.960464478e-08 2
9 1438 3.086929023e-02 3.086934984e-02 5.960464478e-08 32
10 1507 -1.161474660e-01 -1.161475182e-01 5.215406418e-08 7
11 1305 1.145695895e-01 1.145695448e-01 4.470348358e-08 6
12 1498 -1.320146024e-01 -1.320146471e-01 4.470348358e-08 3
13 1408 5.739488080e-02 5.739492178e-02 4.097819328e-08 11
14 1194 2.897668816e-02 2.897664905e-02 3.911554813e-08 21
15 1484 -8.724769205e-02 -8.724772930e-02 3.725290298e-08 5
16 1093 4.262188822e-02 4.262192547e-02 3.725290298e-08 10
17 1445 -1.120662615e-01 -1.120662987e-01 3.725290298e-08 5
18 431 -4.943108186e-02 -4.943111539e-02 3.352761269e-08 9
19 1257 -3.952458873e-02 -3.952455521e-02 3.352761269e-08 9
