QUANT-COVERAGE-001 P0 ABI+geometry
GGML_TYPE_COUNT=43

COVERAGE known=35 persisted=35 kernel_ready=21 missing_kernels=14

--- persisted types ---
name         id  elems  bytes  kernel   status
F32           0      1      4     YES    READY
F16           1      1      2     YES    READY
Q4_0          2     32     18     YES    READY
Q4_1          3     32     20     YES    READY
Q5_0          6     32     22     YES    READY
Q5_1          7     32     24     YES    READY
Q8_0          8     32     34     YES    READY
Q8_1          9     32     36      NO   P2_GAP
Q2_K         10    256     84     YES    READY
Q3_K         11    256    110     YES    READY
Q4_K         12    256    144     YES    READY
Q5_K         13    256    176     YES    READY
Q6_K         14    256    210     YES    READY
Q8_K         15    256    292     YES    READY
IQ2_XXS      16    256     66     YES    READY
IQ2_XS       17    256     74     YES    READY
IQ3_XXS      18    256     98     YES    READY
IQ1_S        19    256     50     YES    READY
IQ4_NL       20     32     18     YES    READY
IQ3_S        21    256    110     YES    READY
IQ2_S        22    256     82     YES    READY
IQ4_XS       23    256    136     YES    READY
I8           24      1      1      NO   P2_GAP
I16          25      1      2      NO   P2_GAP
I32          26      1      4      NO   P2_GAP
I64          27      1      8      NO   P2_GAP
F64          28      1      8      NO   P2_GAP
IQ1_M        29    256     56      NO   P2_GAP
BF16         30      1      2      NO   P2_GAP
TQ1_0        34    256     54      NO   P2_GAP
TQ2_0        35    256     66      NO   P2_GAP
MXFP4        39     32     17      NO   P2_GAP
NVFP4        40     64     36      NO   P2_GAP
Q1_0         41    128     18      NO   P2_GAP
Q2_0         42     32     17      NO   P2_GAP

VERDICT fails=0
NEXT: P1 cert 21 dequant/GEMV vs scalar; P2 implement IQ1_M/BF16/MXFP4/NVFP4/...
