NAME                                 ID         SIZE
gemma3-1b-Q2_K                       999f9f19    666.7 MB
llama3.2-3b-Q2_K                     5d85f884      1.3 GB
llama3.2-3b-Q3_K_S                   cb54a4b2      1.4 GB
gemma3-1b-Q2_K                       98ce64d2    666.7 MB
llama3.2-3b-Q2_K                     06567b6a      1.3 GB
model                                377e3562      4.0 KB
phi3-mini-Q2_K                       61677803      1.4 GB
tinyllama-1.1b-chat-v1.0.Q4_K_M      c343fe9f    637.8 MB
tinyllama                            208dd79b    637.8 MB
BigDaddyG-F32-FROM-Q4                f17a307d     36.2 GB
BigDaddyG-NO-REFUSE-Q4_K_M           45c62172     36.2 GB
BigDaddyG-Q2_K-CHEETAH               1ee2db53     23.7 GB
BigDaddyG-Q2_K-PRUNED-16GB           e97d8b2e     15.8 GB
BigDaddyG-Q2_K-ULTRA                 1c5ae901     23.7 GB
BigDaddyG-UNLEASHED-Q4_K_M           b726000b     36.2 GB
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M     f4661a29      4.7 GB
DeepSeek-R1-Q4_K_M-COMPLETE          179206bb    376.7 GB
DeepSeek-R1-Q4_K_M                   01c215f4    109.7 GB
gemma-4-31B-it-Q4_K_M                3fa8884c     17.4 GB
gemma-4-E4B-it-Q4_K_M                4671ff75      5.0 GB
GLM-4.7-Flash-Q4_K_M                 dce1d12b     16.9 GB
Q4_K_M                               1c622cd8    578.6 GB
MiniMax-M2.7-Q4_K_M                  06673b02    128.8 GB
NVIDIA-Nemotron-3-Nano-4B-Q8_0       ce3d5ac2      3.9 GB
Phi-3-medium-128k-instruct-Q4_K_M    c090dfb9      8.0 GB
Phi-3-mini-4k-instruct-q8_0          4ede4360      2.0 GB
qwen2.5-coder-14b-instruct-q8_0      97e373f5     14.6 GB
Qwen3.5-40B-Claude-4.6-Opus-Deckard-Heretic-Uncensored-Thinking.Q4_K_M e685c507     22.3 GB
Qwen3.5-40B-Claude-4.6-Opus-Deckard-Heretic-Uncensored-Thinking.Q8_0 273d96d2     38.7 GB
Qwen3.6-27B-Fable-Fus-711-UnHeretic-NM-DAU-NEO-MAX-NEO-MTP-Q4_K_M 145eb433     17.2 GB
Qwen3.6-35B-A3B-Q4_K_M               0ebc72ef     19.7 GB
Qwen3.8-27B-AD-Q4_K_M                018a3d96     15.9 GB
Qwen3.8-Flash-Next-AD-IQ1_M-M64      71adf255     79.1 GB
Codestral-22B-v0.1-Q4_K_M            636ae96b     11.8 GB
Phi-3-mini-4k-instruct-q8_0          6e9bedca      2.0 GB
llama3.2-3b-Q2_K                     e6c8d49e      1.3 GB
NVIDIA-Nemotron-3-Nano-4B-Q8_0       dd4904a3      3.9 GB
Qwen3.8-27B-AD-Q4_K_M                8de66b2c     15.9 GB
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M     4e7b03db      4.7 GB
gemma-4-E4B-it-Q4_K_M                05aa0006      5.0 GB
Phi-3-medium-128k-instruct-Q4_K_M    1252fe0a      8.0 GB
Codestral-22B-v0.1-Q4_K_M            27897ac5     11.8 GB
qwen2.5-coder-14b-instruct-q8_0      a02edf74     14.6 GB
BigDaddyG-Q2_K-ULTRA                 295f2b51     23.7 GB
GLM-4.7-Flash-Q4_K_M                 eadd33c1     16.9 GB
gptoss20b                            e9091d99     12.8 GB
ggml-vocab-aquila                    0c2534b9      4.6 MB
ggml-vocab-baichuan                  73b13e78      1.3 MB
ggml-vocab-bert-bge                  dc464038    612.8 KB
ggml-vocab-command-r                 64427bdc     10.4 MB
ggml-vocab-deepseek-coder            1c0b49ca      1.1 MB
ggml-vocab-deepseek-llm              84d81be2      3.8 MB
ggml-vocab-falcon                    1a9ab205      2.2 MB
ggml-vocab-gpt-2                     911636a1      1.7 MB
ggml-vocab-gpt-neox                  a8597b01      1.7 MB
ggml-vocab-llama-bpe                 cf8bfb2d      7.5 MB
ggml-vocab-llama-spm                 b17dec9e    706.9 KB
ggml-vocab-mpt                       ae6021e9      1.7 MB
ggml-vocab-nomic-bert-moe            342ef106      6.5 MB
ggml-vocab-phi-3                     42c1dc58    709.0 KB
ggml-vocab-qwen2                     3a529532      5.7 MB
ggml-vocab-refact                    9d844ed8      1.6 MB
ggml-vocab-starcoder                 b1824686      1.6 MB
ministral3_q4_0                      b81f4373      4.8 GB
phi-3-mini-4k-instruct.Q4_K_M        40b4ebc4      0.0 KB
corrupt_header                       bdfeb735      0.0 KB
metadata_mismatch                    48b6b1ae      0.1 KB
unsupported_quant                    81a76094      0.1 KB
proper                               f80f7166      1.0 KB
Qwen3.5-40B-Q4_K_M                   8b6c51cc      6.0 GB
gemma3-1b-Q2_K                       b5e7290a    666.7 MB
llama3.2-3b-Q2_K                     61084111      1.3 GB
llama3.2-3b-Q3_K_S                   7a0e354d      1.4 GB
gemma3-1b-Q2_K                       fa538653    666.7 MB
llama3.2-3b-Q2_K                     43dccce9      1.3 GB
model                                8e30e384      4.0 KB
phi3-mini-Q2_K                       f9c7d5c9      1.4 GB
tinyllama-1.1b-chat-v1.0.Q4_K_M      3c0c4106    637.8 MB
tinyllama                            d2b0cc01    637.8 MB
BigDaddyG-F32-FROM-Q4                bd7812f8     36.2 GB
BigDaddyG-NO-REFUSE-Q4_K_M           d806dd5a     36.2 GB
BigDaddyG-Q2_K-CHEETAH               002db639     23.7 GB
BigDaddyG-Q2_K-PRUNED-16GB           eae5f531     15.8 GB
BigDaddyG-Q2_K-ULTRA                 1f52084a     23.7 GB
BigDaddyG-UNLEASHED-Q4_K_M           979d90f7     36.2 GB
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M     f27f901b      4.7 GB
DeepSeek-R1-Q4_K_M-COMPLETE          9e2f6e30    376.7 GB
gemma-4-31B-it-Q4_K_M                288f87eb     17.4 GB
gemma-4-E4B-it-Q4_K_M                a0eab170      5.0 GB
GLM-4.7-Flash-Q4_K_M                 9fe6cb19     16.9 GB
NVIDIA-Nemotron-3-Nano-4B-Q8_0       f94ceaf1      3.9 GB
Phi-3-medium-128k-instruct-Q4_K_M    83ab2f8e      8.0 GB
Phi-3-mini-4k-instruct-q8_0          e7e1a15f      2.0 GB
qwen2.5-coder-14b-instruct-q8_0      4e2b9d8e     14.6 GB
