Alignment: 32
Tensor Data Start: 738400

Index | Name                                | Type | NDims | Shape           | Offset       | Absolute     | ByteSize
-------------------------------------------------------------------------------------------------------------------
0     | output.weight                       | 14   | 2     | 3072x32064      | 0            | 738400       | 80801280
1     | output_norm.weight                  | 0    | 1     | 3072            | 80801280     | 81539680     | 12288
2     | rope_factors_long.weight            | 0    | 1     | 48              | 80813568     | 81551968     | 192
3     | rope_factors_short.weight           | 0    | 1     | 48              | 80813760     | 81552160     | 192
4     | token_embd.weight                   | 10   | 2     | 3072x32064      | 80813952     | 81552352     | 32320512
5     | blk.0.attn_norm.weight              | 0    | 1     | 3072            | 113134464    | 113872864    | 12288
6     | blk.0.attn_output.weight            | 11   | 2     | 3072x3072       | 113146752    | 113885152    | 4055040
7     | blk.0.attn_qkv.weight               | 11   | 2     | 3072x9216       | 117201792    | 117940192    | 12165120
8     | blk.0.ffn_down.weight               | 11   | 2     | 8192x3072       | 129366912    | 130105312    | 10813440
9     | blk.0.ffn_norm.weight               | 0    | 1     | 3072            | 140180352    | 140918752    | 12288
10    | blk.0.ffn_up.weight                 | 10   | 2     | 3072x16384      | 140192640    | 140931040    | 16515072
11    | blk.1.attn_norm.weight              | 0    | 1     | 3072            | 156707712    | 157446112    | 12288
12    | blk.1.attn_output.weight            | 11   | 2     | 3072x3072       | 156720000    | 157458400    | 4055040
13    | blk.1.attn_qkv.weight               | 11   | 2     | 3072x9216       | 160775040    | 161513440    | 12165120
14    | blk.1.ffn_down.weight               | 11   | 2     | 8192x3072       | 172940160    | 173678560    | 10813440
15    | blk.1.ffn_norm.weight               | 0    | 1     | 3072            | 183753600    | 184492000    | 12288
16    | blk.1.ffn_up.weight                 | 10   | 2     | 3072x16384      | 183765888    | 184504288    | 16515072
17    | blk.2.attn_norm.weight              | 0    | 1     | 3072            | 200280960    | 201019360    | 12288
18    | blk.2.attn_output.weight            | 11   | 2     | 3072x3072       | 200293248    | 201031648    | 4055040
19    | blk.2.attn_qkv.weight               | 11   | 2     | 3072x9216       | 204348288    | 205086688    | 12165120
20    | blk.2.ffn_down.weight               | 11   | 2     | 8192x3072       | 216513408    | 217251808    | 10813440
21    | blk.2.ffn_norm.weight               | 0    | 1     | 3072            | 227326848    | 228065248    | 12288
22    | blk.2.ffn_up.weight                 | 10   | 2     | 3072x16384      | 227339136    | 228077536    | 16515072
23    | blk.3.attn_norm.weight              | 0    | 1     | 3072            | 243854208    | 244592608    | 12288
24    | blk.3.attn_output.weight            | 11   | 2     | 3072x3072       | 243866496    | 244604896    | 4055040
25    | blk.3.attn_qkv.weight               | 11   | 2     | 3072x9216       | 247921536    | 248659936    | 12165120
26    | blk.3.ffn_down.weight               | 11   | 2     | 8192x3072       | 260086656    | 260825056    | 10813440
27    | blk.3.ffn_norm.weight               | 0    | 1     | 3072            | 270900096    | 271638496    | 12288
28    | blk.3.ffn_up.weight                 | 10   | 2     | 3072x16384      | 270912384    | 271650784    | 16515072
29    | blk.4.attn_norm.weight              | 0    | 1     | 3072            | 287427456    | 288165856    | 12288
30    | blk.4.attn_output.weight            | 11   | 2     | 3072x3072       | 287439744    | 288178144    | 4055040
31    | blk.4.attn_qkv.weight               | 11   | 2     | 3072x9216       | 291494784    | 292233184    | 12165120
32    | blk.4.ffn_down.weight               | 11   | 2     | 8192x3072       | 303659904    | 304398304    | 10813440
33    | blk.4.ffn_norm.weight               | 0    | 1     | 3072            | 314473344    | 315211744    | 12288
34    | blk.4.ffn_up.weight                 | 10   | 2     | 3072x16384      | 314485632    | 315224032    | 16515072
35    | blk.5.attn_norm.weight              | 0    | 1     | 3072            | 331000704    | 331739104    | 12288
36    | blk.5.attn_output.weight            | 11   | 2     | 3072x3072       | 331012992    | 331751392    | 4055040
37    | blk.5.attn_qkv.weight               | 11   | 2     | 3072x9216       | 335068032    | 335806432    | 12165120
38    | blk.5.ffn_down.weight               | 11   | 2     | 8192x3072       | 347233152    | 347971552    | 10813440
39    | blk.5.ffn_norm.weight               | 0    | 1     | 3072            | 358046592    | 358784992    | 12288
40    | blk.5.ffn_up.weight                 | 10   | 2     | 3072x16384      | 358058880    | 358797280    | 16515072
41    | blk.6.attn_norm.weight              | 0    | 1     | 3072            | 374573952    | 375312352    | 12288
42    | blk.6.attn_output.weight            | 11   | 2     | 3072x3072       | 374586240    | 375324640    | 4055040
43    | blk.6.attn_qkv.weight               | 11   | 2     | 3072x9216       | 378641280    | 379379680    | 12165120
44    | blk.6.ffn_down.weight               | 11   | 2     | 8192x3072       | 390806400    | 391544800    | 10813440
45    | blk.6.ffn_norm.weight               | 0    | 1     | 3072            | 401619840    | 402358240    | 12288
46    | blk.6.ffn_up.weight                 | 10   | 2     | 3072x16384      | 401632128    | 402370528    | 16515072
47    | blk.7.attn_norm.weight              | 0    | 1     | 3072            | 418147200    | 418885600    | 12288
48    | blk.7.attn_output.weight            | 11   | 2     | 3072x3072       | 418159488    | 418897888    | 4055040
49    | blk.7.attn_qkv.weight               | 11   | 2     | 3072x9216       | 422214528    | 422952928    | 12165120
50    | blk.7.ffn_down.weight               | 11   | 2     | 8192x3072       | 434379648    | 435118048    | 10813440
51    | blk.7.ffn_norm.weight               | 0    | 1     | 3072            | 445193088    | 445931488    | 12288
52    | blk.7.ffn_up.weight                 | 10   | 2     | 3072x16384      | 445205376    | 445943776    | 16515072
53    | blk.8.attn_norm.weight              | 0    | 1     | 3072            | 461720448    | 462458848    | 12288
54    | blk.8.attn_output.weight            | 11   | 2     | 3072x3072       | 461732736    | 462471136    | 4055040
55    | blk.8.attn_qkv.weight               | 11   | 2     | 3072x9216       | 465787776    | 466526176    | 12165120
56    | blk.8.ffn_down.weight               | 11   | 2     | 8192x3072       | 477952896    | 478691296    | 10813440
57    | blk.8.ffn_norm.weight               | 0    | 1     | 3072            | 488766336    | 489504736    | 12288
58    | blk.8.ffn_up.weight                 | 10   | 2     | 3072x16384      | 488778624    | 489517024    | 16515072
59    | blk.9.attn_norm.weight              | 0    | 1     | 3072            | 505293696    | 506032096    | 12288
60    | blk.9.attn_output.weight            | 11   | 2     | 3072x3072       | 505305984    | 506044384    | 4055040
61    | blk.9.attn_qkv.weight               | 11   | 2     | 3072x9216       | 509361024    | 510099424    | 12165120
62    | blk.9.ffn_down.weight               | 11   | 2     | 8192x3072       | 521526144    | 522264544    | 10813440
63    | blk.9.ffn_norm.weight               | 0    | 1     | 3072            | 532339584    | 533077984    | 12288
64    | blk.9.ffn_up.weight                 | 10   | 2     | 3072x16384      | 532351872    | 533090272    | 16515072
65    | blk.10.attn_norm.weight             | 0    | 1     | 3072            | 548866944    | 549605344    | 12288
66    | blk.10.attn_output.weight           | 11   | 2     | 3072x3072       | 548879232    | 549617632    | 4055040
67    | blk.10.attn_qkv.weight              | 11   | 2     | 3072x9216       | 552934272    | 553672672    | 12165120
68    | blk.10.ffn_down.weight              | 11   | 2     | 8192x3072       | 565099392    | 565837792    | 10813440
69    | blk.10.ffn_norm.weight              | 0    | 1     | 3072            | 575912832    | 576651232    | 12288
70    | blk.10.ffn_up.weight                | 10   | 2     | 3072x16384      | 575925120    | 576663520    | 16515072
71    | blk.11.attn_norm.weight             | 0    | 1     | 3072            | 592440192    | 593178592    | 12288
72    | blk.11.attn_output.weight           | 11   | 2     | 3072x3072       | 592452480    | 593190880    | 4055040
73    | blk.11.attn_qkv.weight              | 11   | 2     | 3072x9216       | 596507520    | 597245920    | 12165120
74    | blk.11.ffn_down.weight              | 11   | 2     | 8192x3072       | 608672640    | 609411040    | 10813440
75    | blk.11.ffn_norm.weight              | 0    | 1     | 3072            | 619486080    | 620224480    | 12288
76    | blk.11.ffn_up.weight                | 10   | 2     | 3072x16384      | 619498368    | 620236768    | 16515072
77    | blk.12.attn_norm.weight             | 0    | 1     | 3072            | 636013440    | 636751840    | 12288
78    | blk.12.attn_output.weight           | 11   | 2     | 3072x3072       | 636025728    | 636764128    | 4055040
79    | blk.12.attn_qkv.weight              | 11   | 2     | 3072x9216       | 640080768    | 640819168    | 12165120
80    | blk.12.ffn_down.weight              | 11   | 2     | 8192x3072       | 652245888    | 652984288    | 10813440
