"Name","PID","CPU","WorkingSet_MB","PrivateMemory_MB","VirtualMemory_MB","Commit_MB","PageFile_MB"
"Aac3572DramHal_x86","8632",,"0.2","1.7","49.6","1.7","0"
"Aac3572MbHal_x86","8556",,"4.4","3.6","55.4","3.6","0"
"AacKingstonDramHal_x64","9628",,"0.3","1.9","4189.7","1.9","0"
"AacKingstonDramHal_x86","9016",,"0.2","1.9","53","1.9","0"
"AggregatorHost","8976",,"7.8","4.4","2101344.5","4.4","0"
"amdfendrsr","3276",,"0.8","2.7","4196.8","2.7","0"
"AmdPpkgSvc","4960",,"0.3","1.4","4175.8","1.4","0"
"ApplicationFrameHost","18188","6.796875","4.4","34.5","2101778.2","34.5","0"
"ArmouryCrate","11476","0.1875","22.2","46","5192.2","46","0"
"ArmouryCrate.Service","5144",,"46.5","84.9","2102006.9","84.9","0.1"
"ArmouryCrate.UserSessionHelper","25064","3.359375","71.2","34.9","2102002.3","33.9","0"
"AsusCertService","3296",,"0.8","2.6","4193.7","2.6","0"
"AsusFanControlService","5156",,"9.8","20.3","165.5","20.3","0"
"atiesrxx","3284",,"6.1","4.5","4207.7","4.5","0"
"atkexComSvc","5136",,"2.1","9.5","85.4","9.5","0"
"audiodg","14096","497.75","14.8","21.7","2101392.4","21.7","0"
"backgroundTaskHost","11524","0.125","0.1","18.6","2232204.5","18.6","0"
"backgroundTaskHost","21992","1.046875","30","29.8","2232284.3","29.8","0"
"backgroundTaskHost","22520","0.390625","0.6","18","2232205.5","18","0"
"BuildService","5708",,"6.7","7","114.9","7","0"
"CCleaner_service","5180",,"29.8","334.2","4785.8","334.2","0.3"
"Code","8648","920.265625","918.5","908.9","3526178.1","909.1","0.9"
"Code","9260","205.609375","1101.5","1114.7","3529431.2","1114.7","1.1"
"Code","9648","28.75","189.1","154.5","3524340.5","154.5","0.2"
"Code","10732","0.015625","32.9","10.7","2134373.5","10.7","0"
"Code","12916","0.4375","102.6","29.9","3522550.5","29.9","0"
"Code","14212","0.59375","100.5","26.1","3522550.5","26.1","0"
"Code","14896","14.859375","120.1","85.9","3524375.2","85.9","0.1"
"Code","16024","309.46875","150.1","259.6","2135160.5","259.6","0.3"
"Code","17476","0.203125","112.1","36.3","3522550.5","36.3","0"
"Code","17860","8.578125","51.3","14.6","2134470.7","14.6","0"
"Code","20876","7.921875","169.1","171.5","3536127","171.5","0.2"
"Code","23420","157.25","268.2","230.7","3524728.8","230.7","0.2"
"conhost","4168","0.390625","8.8","1.5","2101341.8","1.5","0"
"conhost","8008","0.171875","8.8","1.4","2101341.8","1.4","0"
"conhost","9208","0.03125","8.7","1.4","2101341.8","1.4","0"
"conhost","10484","0.140625","8.8","1.4","2101341.8","1.4","0"
"conhost","11444","0.03125","1.4","1.7","2101369.7","1.7","0"
"conhost","15868","0.015625","7.6","1.2","2101341.4","1.2","0"
"conhost","18140",,"2.1","1.6","2101332.7","1.6","0"
"conhost","24028","0.015625","8.8","1.4","2101341.8","1.4","0"
"conhost","24392","0.53125","8.9","1.5","2101341.8","1.5","0"
"conhost","24400","0.015625","7.8","1.2","2101341.4","1.2","0"
"conhost","24928","0.0625","8.7","1.4","2101341.8","1.4","0"
"CoordinatorService","5288",,"15.9","71.7","208.8","71.7","0.1"
"csrss","1400",,"1.5","3.1","2101364.4","3.1","0"
"csrss","1668",,"7.3","9.7","2101426.3","9.7","0"
"ctfmon","13848","204.78125","16.6","13.7","2101429.4","13.7","0"
"dasHost","4860",,"0.2","3.2","2101352.3","3.2","0"
"dllhost","11268","0.046875","18.9","2.7","2101378.5","2.7","0"
"dwm","1904",,"79","321.8","2102082.5","321.8","0.3"
"endpointService","5336",,"17.7","14.8","767.4","14.8","0"
"explorer","20308","738.484375","229.3","443.5","2103037.8","443.5","0.4"
"extensionCardHal_x86","8464",,"0.1","1.9","51.5","1.9","0"
"fontdrvhost","2020",,"0.7","2.6","2101321.1","2.6","0"
"fontdrvhost","2028",,"11.7","10.6","2101473.9","10.6","0"
"GameSDK","5268",,"0.4","1.8","37.7","1.8","0"
"Idle","0",,"0","0.1","0","0.1","0"
"IpOverUsbSvc","5208",,"1","8.3","121.2","8.3","0"
"LicenseService","5320",,"3.8","7.4","95.6","7.4","0"
"LightingService","5304",,"12.5","117.8","212.6","117.8","0.1"
"LsaIso","1820",,"1.6","1.6","4147","1.6","0"
"lsass","1840",,"15","12.4","2101387.2","12.4","0"
"Manager","12740",,"139.2","314.9","17479.2","314.9","0.3"
"ManagerService","22624",,"1.4","13.5","5276.4","13.5","0"
"Memory Compression","3896",,"554.6","3.1","644.1","3.1","0"
"MpDefenderCoreService","5376",,"11.4","12.7","2101390.4","12.7","0"
"msedge","9204","0.1875","29.4","9.5","2249307.7","9.5","0"
"msedge","10364","0.078125","35.7","19","3637430.9","19","0"
"msedge","13812","0.125","24.3","9.1","2249324.6","9.1","0"
"msedge","14468","32.765625","252.4","102.9","2332599.2","102.9","0.1"
"msedge","15608","460.15625","394.6","317","3639582.2","317","0.3"
"msedge","17240","21.5625","53.2","22.1","2249487.7","22.1","0"
"msedge","17420","0.5625","69.4","35.6","3639163.3","35.6","0"
"msedge","17756","1","22.4","5.4","2199905.8","5.4","0"
"msedge","19428","36.71875","254.5","587.9","2252464.8","587.9","0.6"
"msedge","22928","1.65625","128.2","78.5","3639223","78.5","0.1"
"msedge","24344","0.125","22","9.6","2249308.4","9.6","0"
"msedgewebview2","1700","0.0625","1","2.3","2199772.2","2.3","0"
"msedgewebview2","3140","15.84375","36.9","43.5","2299244.8","43.5","0"
"msedgewebview2","10668","3.09375","15.2","12.9","2249454.2","12.9","0"
"msedgewebview2","11336","9.625","7.5","117.7","2250200.3","117.7","0.1"
"msedgewebview2","13408","0.078125","22.8","10.2","2249275.7","10.2","0"
"msedgewebview2","15940","1.25","3.3","9.7","2249291.6","9.7","0"
"msedgewebview2","17112","0.484375","47.4","14.9","2249456.3","14.9","0"
"msedgewebview2","19360","0.046875","10","2.3","2199770.9","2.3","0"
"msedgewebview2","22076","2.875","188.9","136","3637579.6","136","0.1"
"msedgewebview2","22404","10.453125","15.2","84","3639224.2","84","0.1"
"msedgewebview2","23624","0.125","22.5","8.6","2249290.1","8.6","0"
"msedgewebview2","24220","2.046875","215.5","313","2252236.7","313","0.3"
"msedgewebview2","25580","1.46875","130.2","44","2299308.3","44","0"
"MsMpEng","5392",,"404.2","406.3","2102642.7","406.4","0.4"
"NgcIso","8216",,"0.6","1.1","4145.3","1.1","0"
"NisSrv","9908",,"5.7","5.6","2101370.8","5.6","0"
"node","24272","24.96875","262.1","293.3","5657.5","293.3","0.3"
"obs64","15552","135031.265625","2670.3","3742.5","74569","3742.5","3.7"
"ollama","20504","44.03125","36.7","40.6","5469.5","40.6","0"
"pwsh","8604","0.40625","83.6","26.9","2366127","31.5","0"
"pwsh","10556","3.828125","165.3","78.1","2366163.5","78.1","0.1"
"pwsh","11612","2.828125","135.6","61.9","2366112","61.9","0.1"
"pwsh","12116","5.546875","167.7","86.1","2366117.7","86.1","0.1"
"pwsh","14108","1.828125","122.9","53.7","2366105.3","53.7","0.1"
"pwsh","14460","2.25","134.1","60.2","2366109.1","60.2","0.1"
"pwsh","20392","31","4402.6","4303.5","2366348.8","4303.5","4.2"
"pwsh","24556","4.296875","163.1","77.4","2366123.7","77.4","0.1"
"Registry","280",,"30.3","17.8","239.5","17.8","0"
"ROGLiveService","5260",,"4.8","10.2","4295.4","10.2","0"
"RuntimeBroker","10620","2.375","21","6.3","2101432.8","6.3","0"
"RuntimeBroker","11252","3.65625","14.5","16.1","2101569.6","16.1","0"
"RuntimeBroker","21276","0.5625","7.1","5","2101411.6","5","0"
"RuntimeBroker","22680","0.15625","30.5","6.2","2101405.2","6.2","0"
"SearchFilterHost","26000",,"13.1","2.6","2101332.8","2.6","0"
"SearchHost","12888","19.96875","19.4","79.3","2151283.2","79.3","0.1"
"SearchIndexer","4516",,"69.8","83.7","2101572.5","83.7","0.1"
"SearchProtocolHost","12788",,"18.9","2.9","2101352.4","2.9","0"
"Secure System","236",,"212.7","0.2","2.6","0.2","0"
"SecurityHealthService","17696",,"2.5","7.2","2101419.9","7.2","0"
"services","1740",,"7.7","7.4","2101324.7","7.4","0"
"ShellExperienceHost","24016","6.78125","86.3","50.6","2101975.3","50.6","0"
"ShellHost","9868","1.046875","9.2","31.2","2101800.8","31.2","0"
"sihost","5720","36.78125","22.1","10.1","2101476.4","10.1","0"
"smss","872",,"0.2","1.2","2101319.1","1.2","0"
"spoolsv","4892",,"3.7","5.8","2101356.9","5.8","0"
"sqlwriter","5296",,"0.3","2.1","4176.2","2.1","0"
"StartMenuExperienceHost","21680","14.796875","20.2","96.4","2105201.2","96.4","0.1"
"steam","23180","234.890625","41.3","85","4644.5","85","0.1"
"steamservice","6352",,"1.5","8.2","73.7","8.2","0"
"steamwebhelper","2172","1.9375","163.8","255","70572.4","255","0.2"
"steamwebhelper","10008","1.6875","98","59","84362.6","59","0.1"
"steamwebhelper","10316","1.09375","30.6","11.1","70003.9","11.1","0"
"steamwebhelper","18152","0.1875","21.4","9.9","69970.1","9.9","0"
"steamwebhelper","18968","0.0625","15","7.9","69969.4","7.9","0"
"steamwebhelper","20396","7.296875","377.8","336.6","84394.5","336.6","0.3"
"steamwebhelper","23456","27.328125","174.4","52.8","70272.6","52.8","0.1"
"svchost","844",,"15","10.9","2101347.5","10.9","0"
"svchost","1348",,"4.1","3.4","2101342.7","3.4","0"
"svchost","1988",,"26.5","17.4","2101421","17.4","0"
"svchost","2192",,"1.2","1.3","2101326.1","1.3","0"
"svchost","2284",,"2.4","2.2","2101337.1","2.2","0"
"svchost","2292",,"7.6","3.7","2101354","3.7","0"
"svchost","2296",,"1","1.4","2101328.4","1.4","0"
"svchost","2308",,"1.5","2","2101336","2","0"
"svchost","2316",,"2","3.6","2101355.3","3.6","0"
"svchost","2504",,"1.7","3.1","2101344.3","3.1","0"
"svchost","2512",,"5.1","2.3","2101343.9","2.3","0"
"svchost","2612",,"8.8","6.4","2101346.1","6.4","0"
"svchost","2624",,"4.4","6.4","2101327","6.4","0"
"svchost","2732",,"1.2","2.1","2101340.6","2.1","0"
"svchost","2760",,"8.6","5.7","2101358.1","5.7","0"
"svchost","2876",,"3.6","2.6","2101357.9","2.6","0"
"svchost","3012",,"11.4","6.2","2101395.8","6.2","0"
"svchost","3036",,"7.2","3.7","2101366.8","3.7","0"
"svchost","3132",,"5.6","3.8","2101345.3","3.8","0"
"svchost","3184",,"1.3","2.1","2101337.1","2.1","0"
"svchost","3312",,"13.1","15.7","2101370.7","15.7","0"
"svchost","3460",,"7.8","2.7","2101353.4","2.7","0"
"svchost","3576",,"2.8","2.6","2101339.4","2.6","0"
"svchost","3708",,"476.7","481","2105728.3","481","0.5"
"svchost","3716",,"1.6","1.5","2101332.3","1.5","0"
"svchost","3732",,"1.3","2.1","2101339.7","2.1","0"
"svchost","3804",,"19.3","6.4","2101377.4","6.4","0"
"svchost","3880",,"1.4","2","2101338","2","0"
"svchost","3888",,"0.8","3.7","2101348","3.7","0"
"svchost","3980",,"0.7","2","2101340.2","2","0"
"svchost","3988",,"4","1.9","2101335.3","1.9","0"
"svchost","4076",,"1.7","2.8","2101341.8","2.8","0"
"svchost","4084",,"3.4","2.4","2101390.3","2.4","0"
"svchost","4152",,"9.9","5.4","2101363","5.4","0"
