"RelativePath","Size","SHA256","LastWriteTime"
"actual_cpp_files.txt","52620","5341DDD7121DC99C33DB2A20545213918F16DC08E500E8B1C8726D5F1F78CFEB","2026-09-22 08:58:56"
"actual_src_cpp_files.txt","30933","3753EB69984C14C65499392990B60A4C87F71CD85DB987746CF31C48FD6CC76D","2026-09-22 06:10:40"
"all_cpp.txt","29912","167A49C25DC4C17090E976EC64EEB035C123F0BEA47EE7AF2F68EAE7C4A73154","2026-09-22 09:17:19"
"all_failing_targets.txt","52690","7D5DB37CD09DEE53D99AA7FD0FF50F067E56635C5A40E619B9B78FDED53518F5","2026-09-22 06:10:40"
"all_src_files.txt","307280","660C20E7688151E3275C1C9B8F28D61CC31E5D2C18D64CFB6886176EDCF3D2A4","2026-09-22 09:15:58"
"all_targets.txt","12080","21D88E11DB087CDD3D708A16877405A99B1DD80F96A02BB401C68D62916E407C","2026-09-22 06:10:40"
"analyze_sources.py","1974","5328CE450AFE25414D0DA157BAB02DF132891ED07CED9EA1192B03BF3F360EB7","2026-09-22 06:10:40"
"build_p2_rawr.txt","182948","8C03C0A1746CBA0203E26315269DDE2BE0C5701C25D1F1234075CD0FCE8DD829","2026-09-22 09:12:49"
"build_win32ide.txt","185988","017BD74BCC74E9296D8C5FBDBCDC5BE4DD564EFB7909BE98950ACD109018A4D4","2026-09-22 05:30:56"
"CMakeLists.txt","1088683","81E70EE2591378FB804837AE0CF54DF7187615C624A997ABA8AA7E0094B3A24D","2026-09-22 12:51:10"
"CMakeLists.txt.bak_source_authority","1220140","21BAE81E3B8704E1D08D47DB5484F6DFA396C6E6568A0AA3F51CB6EFC512EAEC","2026-09-22 12:23:05"
"CMakeLists.txt.batch3.bak","1220183","0A4142C9A8FF18CEE67446AD820428FCD0D144205339478FB714C10172727AC6","2026-09-22 06:10:40"
"CMakeLists.txt_dec1685","1873984","5BEA93C5E53A2F2504A356BE68C60EEE01C1F9C465EF5C30C55D6248A816B9BE","2026-09-22 05:20:06"
"cmake_after_off.txt","89250","A37683D7083AD6A7D0FE6905858E177E3151B33E621FCD62A065C733F1D774BA","2026-09-22 05:34:16"
"cmake_cli_on.txt","75362","11BAF962BACC00AE2B184485D0A7305AF3CD7BC4C807568A7A0715AD642076E6","2026-09-22 09:12:09"
"cmake_current_stderr.txt","4139","F8C445D634788C8DEA88FF702D2BAA78C9019C686E65D72D890C2EB020191DA7","2026-09-22 13:10:44"
"cmake_current_stdout.txt","23200","4475F58B00D76F31DBDCCFC34E9FECC270866339CE0769D155A2D8BF126FDFFF","2026-09-22 13:10:44"
"cmake_errors.txt","63","A07991151DDB16802F4196CD5526FBB04B4DFFDC8343084F4AD591FE4485AD01","2026-09-22 09:18:54"
"cmake_errors2.txt","6332","FFCFE157FB052F7725C30F99A3DA41B23220CB051AF313C5D83DE65819667BCC","2026-09-22 08:52:29"
"cmake_errors_filtered.txt","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-09-22 05:30:07"
"cmake_errors_full.txt","38158","BBE0041D77BBC85197A0A5E270FD01CF75E3CF39C45C28CEDEB76A8A19743014","2026-09-22 09:57:06"
"cmake_error_log.txt","185540","5008119C06CD7D37C88815DC51A12324E11A03372827C0468265125E4BA5A094","2026-09-22 06:10:40"
"cmake_output.txt","376244","F91678E50187F61F494404A775DF9882DD5841B73AB96026792FB76564CD237B","2026-09-22 09:04:19"
"cmake_out_current2.txt","73240","C324AD11EBD682956747D12BF27F38B8FECC41C2FBFFB3BA915370FE1C38D532","2026-09-22 08:52:28"
"cmake_out_utf8.txt","36821","AA3A7ACC8E97E4D65CDADA79F311EEA2970D20BB57456D8943AF3B8135C18B66","2026-09-22 08:52:43"
"fix_all_remaining.py","1947","415EAB8D4CAF4952EAF9601CF3C04D8110F4D342119BE3D7DDDFDED72CD0E030","2026-09-22 06:10:40"
"fix_cert_out.txt","930","756A3DA9925F535F3B41689710298591D1EFE30559DE88EC5165B2DF27DD454A","2026-09-22 06:10:40"
"fix_cmake.py","6455","2CDD3E28AECE3C69D049336EED3019717C6F20AD56EED289E26359B776952C39","2026-09-22 06:10:40"
"fix_disable_certs.py","3297","D485ECF285AF09956D8CBD5A704CB04EB1828C1B78DFBF145281DE5227BB16A4","2026-09-22 06:10:40"
"fix_remaining_missing.py","3092","AA39F90790C8C779F295518E5ED711B5D70D5844C54F462E7A6C7976F2EDA27A","2026-09-22 06:10:40"
"missing_files.txt","2730","D66D3D7255DA0B8159599BE43E6720B756E6EB3C9F59BD169C66025B7C933982","2026-09-22 05:38:24"
"missing_files_list.txt","3555","D848E6DF37E9175C9C3EE8A1A85422A15B23521D65BBB6E0A67CF2F841CDC4AA","2026-09-22 05:40:10"
"missing_sources.txt","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-09-22 08:55:02"
"remove_failing_targets.py","6130","157621EB07B8937A10F1DDEACD720E433A6FFFB7C4953AD79380497F36771566","2026-09-22 06:10:40"
"remove_targets_v2.py","2482","86CD1B9C954DE05B894E64BCA6A87762040D9335E469006B4A9C3C0CAA90AB9D","2026-09-22 06:10:40"
"_check_missing.py","534","2C6A2372DD2FF240DD376378318290F4592BC30E7EF9445F04B6C1550A23CBC6","2026-09-22 10:04:05"
"_check_missing2.py","997","F730B9C7153E62578EAC2BA2E62A6D7558C8A55ADCE01B134155BF4B0B12D7BC","2026-09-22 10:04:05"
"_check_missing3.py","738","AD7D28F040CF63EB56DF936B6D81413A3F6988D0A1134CEA80F6A50D5C3ACBEF","2026-09-22 10:09:11"
"_missing.txt","48","3EDA64B2866F83FC8C0C56F3F59AE7EC6C5A0BFD2C9376EACAA6E4C365F4C2FE","2026-09-22 10:07:59"
"_tmp_check_sources.py","804","B1CDF54EB40514112F9E20F1B1E2B20E290C84F7DCA456FE2B05EECBA36ADE13","2026-09-22 06:10:40"
"_tmp_cmake.bat","279","0469D7DB7963E6CB4FCAF43140A3E0542161DB90BAFC0673D0E2201FEB312D7C","2026-09-22 06:10:40"
"_tmp_fix_options.ps1","292","FC93AE2255F3A8C82482FB9C113F773713C23F03594B20EEB3433DB1890C93C6","2026-09-22 06:10:40"
"_tmp_fix_options.py","444","F56FBEEFE0B5DA92A928ACE1D645F3B597FD38FE8C23150372DBC2E58077A282","2026-09-22 06:10:40"
"_tmp_fix_options2.py","713","BAFC82C3194DE00D5791BC187F76B10322B2AC88BCC02DE85243CC4F7014581B","2026-09-22 06:10:40"
"_tmp_fix_options3.py","839","71E10720552D3EE9E660FFAD947178374F573529103863F597A14C25F95DC7A3","2026-09-22 06:10:40"
"_tmp_fix_options4.py","967","2AAB88C88B5A4E9DF58D7172571D27D0E32747F4F69B49228632F41B0F9F8387","2026-09-22 06:10:40"
"3rdparty\quickjs\.gitignore","405","4EAB41C4A2A1489A15F28FA85B4A2AE78505777C79654D1931CB08AFBF383F6B","2026-09-22 07:54:40"
"3rdparty\quickjs\Changelog","6455","43969BE5DB51DD7917B00330517DAC3BA541B1E0E647FCCD96C85BD850B030C8","2026-09-22 07:54:40"
"3rdparty\quickjs\compat_msvc.h","1943","F1A35730D32EFF53148002817D138087096B5DE8B9C22FFF9098D96C0CC5821B","2026-09-22 12:12:09"
"3rdparty\quickjs\cutils.c","18439","406FA69B7262E6A66DF9594ACBC619BA973668F37086B4ACBAF3EF486776582A","2026-09-22 07:54:40"
"3rdparty\quickjs\cutils.h","11695","BD1E5B2C7D145844B4532B02ABC3E5069DABE41C35E12EE98606ABC1E5D1FF75","2026-09-22 12:12:09"
"3rdparty\quickjs\dtoa.c","46472","EC9AE90D8F0E9D1ED677D552A0407E55E944FBAF8192A39F24F0AB56CA7DEA9D","2026-09-22 12:21:29"
"3rdparty\quickjs\dtoa.h","3389","964AB3AA8ABB307818FD4450F0159994DA15D9AA2EE51DB1A4DBBBEB8A4872CC","2026-09-22 07:54:40"
