"Pattern","FullName","Length","LastWriteTime"
"ElasticArchitectureDetector*","F:\~dev\build_clean_test12\InferenceEngine.dir\Release\ElasticArchitectureDetector.obj","545","9/20/2026 1:34:33 AM"
"RawrPE64Linker*","F:\~dev\rawrxd\src\compiler_backend\RawrPE64Linker.cpp","8694","9/22/2026 9:39:37 AM"
"RawrPE64Linker*","F:\~dev\rawrxd\src\compiler_backend\RawrPE64Linker.hpp","2034","9/22/2026 9:39:37 AM"
"Crucible*","F:\~dev\rawrxd\src\modules\crucible_engine.cpp","45","9/22/2026 9:44:14 AM"
"reverser_*","F:\~dev\rawrxd\src\reverse_engineering\reverser_compiler\reverser_ast.asm","208","9/22/2026 6:10:42 AM"
"reverser_*","F:\~dev\rawrxd\src\reverse_engineering\reverser_compiler\reverser_bytecode_gen.asm","241","9/22/2026 6:10:42 AM"
"reverser_*","F:\~dev\rawrxd\src\reverse_engineering\reverser_compiler\reverser_compiler.asm","228","9/22/2026 6:10:42 AM"
"reverser_*","F:\~dev\rawrxd\src\reverse_engineering\reverser_compiler\reverser_compiler_from_scratch.asm","1968","9/22/2026 6:10:42 AM"
"reverser_*","F:\~dev\rawrxd\src\reverse_engineering\reverser_compiler\reverser_compiler_from_scratch_patched.asm","2048","9/22/2026 6:10:42 AM"
"reverser_*","F:\~dev\rawrxd\src\reverse_engineering\reverser_compiler\reverser_compiler_patched.asm","22131","9/22/2026 6:10:42 AM"
"reverser_*","F:\~dev\rawrxd\src\reverse_engineering\reverser_compiler\reverser_lexer.asm","216","9/22/2026 6:10:42 AM"
"reverser_*","F:\~dev\rawrxd\src\reverse_engineering\reverser_compiler\reverser_parser.asm","220","9/22/2026 6:10:42 AM"
"reverser_*","F:\~dev\rawrxd\src\reverse_engineering\reverser_compiler\reverser_platform.asm","228","9/22/2026 6:10:42 AM"
"reverser_*","F:\~dev\rawrxd\src\reverse_engineering\reverser_compiler\reverser_runtime.asm","224","9/22/2026 6:10:42 AM"
"reverser_*","F:\~dev\rawrxd\src\reverse_engineering\reverser_compiler\reverser_self_compiler.rev","12580","9/22/2026 6:10:42 AM"
"reverser_*","F:\~dev\rawrxd\src\reverse_engineering\reverser_compiler\reverser_syscalls.asm","228","9/22/2026 6:10:42 AM"
"reverser_*","F:\~dev\rawrxd\src\reverse_engineering\reverser_compiler\reverser_test_suite.asm","233","9/22/2026 6:10:42 AM"
"reverser_*","F:\~dev\rawrxd\src\reverse_engineering\reverser_compiler\reverser_vtable.asm","220","9/22/2026 6:10:42 AM"
"reverser_*","F:\~dev\rawrxd\src\reverse_engineering\reverser_compiler\tests\reverser_test_suite.asm","17857","9/22/2026 6:10:42 AM"
"ElasticArchitectureDetector*","F:\~dev\rawrxd\src\runtime\elastic\ElasticArchitectureDetector.cpp","65","9/22/2026 9:44:14 AM"
"JITAssembler*","F:\~dev\rawrxd\src\sovereign\puppeteer\JITAssembler.hpp","61","9/22/2026 6:10:42 AM"
