73.95 GB	models
7.85 GB	rawrxd-push-tmp
7.52 GB	Franken
524.22 GB	.git
506.92 GB	rawrxd
38.53 GB	ollama
2976.86 GB	OllamaModels
15.23 GB	rawrxd-p1-promote
1.74 GB	RawrXD-AI-Training
1.69 GB	rawrxd-shallow-push
1.57 GB	Power
1.51 GB	RawrXD-production-lazy-init
0.79 GB	RawrXDDDDDDDDDD
0.69 GB	rxd-cert-push
0.56 GB	cursor
0.47 GB	VS_Code
0.42 GB	Cursor_Source_Complete
0.34 GB	.worktrees
0.28 GB	rawrxd_build
0.24 GB	rawrxd-recovery-docs
0.23 GB	~dev
0.22 GB	test_suite
0.08 GB	testing_model_loaders
0.08 GB	RawrXD_v3.0.11.0.exe.WebView2
0.08 GB	RawrXD.exe.WebView2
0.06 GB	RawrXD_v3.0.9.0.exe.WebView2
0.05 GB	Cursor_Critical_Source
0.02 GB	src
0.02 GB	RawrXD-Compilers
0.02 GB	llama.cpp
0.02 GB	Cursor_Analysis_Results
0.02 GB	APPDATA
0.01 GB	Recovery_Chats
0.01 GB	RawrXD-ModelLoader
0.01 GB	cursor-ollama-extension
0.01 GB	cursor-bypass
0.01 GB	CodexReverseEngine
0.01 GB	3rdparty
0 GB	Tiny-Home
0 GB	tests
0 GB	Testing
0 GB	styles
0 GB	services
0 GB	scripts
0 GB	rxd-push-clean
0 GB	Recovery
0 GB	RawrXD-Win32-Deploy
0 GB	RawrXD-v0.1.0-win64
0 GB	RawrXD-tools
0 GB	RawrXD-Staging
0 GB	RawrXD-Pure-MASM-IDE-Consolidated
0 GB	RawrXDLoops
0 GB	RawrXD-ExecAI
0 GB	RawrXD-AI
0 GB	RawrXD_Deobfuscator
0 GB	rawr1024_ide
0 GB	plugins
0 GB	NoRefusalPayload
0 GB	Modelfiles
0 GB	Model-Audit-Reports
0 GB	mobile
0 GB	masm_ide_build
0 GB	manifests
0 GB	logs
0 GB	lazy_init_ide
0 GB	lazy_init
0 GB	keys
0 GB	kernels
0 GB	invalid
0 GB	include
0 GB	Games
0 GB	final-ide
0 GB	extensions
0 GB	examples
0 GB	Everything
0 GB	docs
0 GB	Cursor_Reverse_Engineered
0 GB	Cursor_Reconstruction
0 GB	Cursor_NodeModules_Extracted
0 GB	Cursor_Complete_Dump_20260124_142840
0 GB	cmake
0 GB	ci
0 GB	blobs
0 GB	bin
0 GB	BigDaddyGProject_MASM_IDE
0 GB	bench-all
0 GB	assets
0 GB	amazonq-copilot
0 GB	agentic_build
0 GB	.vscode
0 GB	.github
0 GB	.cursor
