"FullName","Classification","Notes"
"F:\~dev\rawrxd\certs\k2_useful_tps_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\mla_cert_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\nemotron_nano_poem_smoke.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_actual_e2e_generation_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_agentic_cli_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_agent_build_test_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_agent_loop_e2e_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_agent_patch_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_agent_resume_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_agent_safety_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_agent_session_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_agent_steer_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_agent_steer_resume_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_agent_tools_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_agent_workspace_live_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_autocomplete_cancel_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_autocomplete_e2e_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_autocomplete_live_second_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_auto_ladder_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_background_terminals_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_beaconism_variants_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_capability_solve_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_chat_repl_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_choreography_unbounded_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_decode_carry_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_dual_lane_contract_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_editor_agent_e2e_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_embed_norm_guard_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_ge_probe_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_installer_clean_machine_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_interstellar_deep2_e2e_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_k2_o_proj_hotpath_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_k2_product_e2e_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_k2_qkv_shared_x_001.cpp","A","pure_stub"
"F:\~dev\rawrxd\certs\rawrxd_kernel_tune_001.cpp","A","pure_stub"
